period_start,period_end,acceptance_rate,completed_orders,problem_orders,total_orders,per_order_income,bonus,tips,subsidy,avg_rating,ad_deduction,feedback_deduction,total_compensation
2019-11-01,2019-11-30,,795,,,,,,,,,,63565
2019-12-01,2019-12-31,,774,,,,,,,,,,62545
2020-01-01,2020-01-31,,803,,,,,,,,,,56635
2020-02-01,2020-02-29,,788,,,,,,,,,,52665
2020-03-01,2020-03-15,97,501,,,,,,,,,,35330
2020-03-16,2020-03-31,96,514,,,,,,,,,,36180
2020-04-01,2020-04-15,97,412,,,,,,,,,,27715
2020-04-16,2020-04-30,96,355,,,,,,,,,,23440
2020-05-01,2020-05-15,98,319,,,,,,,,,,21290
2020-05-16,2020-05-31,95,466,,,,,,,,,,32960
2020-06-01,2020-06-15,97,444,,,,,,,,,,31340
2020-06-16,2020-06-30,97,439,,,,,,,,,,30985
2020-07-01,2020-07-15,95,615,,,,,,,,,,44484
2020-07-16,2020-07-31,96,603,1,604,,,,,,,,44266
2020-08-01,2020-08-15,94,377,0,377,,,,,,,,24835
2020-09-01,2020-09-15,96,356,0,356,,,,,,,,23823
2020-10-16,2020-10-31,98,488,2,490,,,,,,,,32986
2020-11-01,2020-11-15,98,411,1,412,,,,,,,,28764
2020-11-16,2020-11-30,98,435,0,435,,,,,,,,29814
2020-12-01,2020-12-15,97,482,3,485,,,,,,,,33549
2020-12-16,2020-12-31,95,406,3,409,,,,,,,,28194
2021-01-01,2021-01-15,96,403,2,405,,,,,,,,27575
2021-01-16,2021-01-31,94,338,2,340,,,,,,,,23442
2021-02-01,2021-02-15,94,402,1,403,,,,,4.8,,,28389
2021-02-16,2021-02-28,97,368,0,368,,,,,4.8,,,25062
2021-03-01,2021-03-15,96,506,2,508,,,,,4.9,,,36489
2021-03-16,2021-03-31,96,583,1,584,,,,,4.8,,,40981
2021-04-01,2021-04-15,97,544,1,545,35802,4505,,,4.7,0,0,40307
2021-04-16,2021-04-30,95,597,1,598,36771,5505,,,4.8,0,0,42276
2021-05-01,2021-05-15,95,608,1,609,37405,5830,,,4.8,0,0,43235
2021-05-16,2021-05-31,96,744,3,747,44738,6725,,,4.8,0,0,51463
2021-06-01,2021-06-15,96,733,2,735,41514,9810,,,4.9,0,0,51324
2021-06-16,2021-06-30,95,745,4,749,44040,13190,,,4.8,0,0,57230
2021-07-01,2021-07-15,96,557,2,559,31279,7410,,,4.5,0,0,38689
2021-07-16,2021-07-31,96,741,1,742,39996,11680,,,4.9,0,0,51676
2021-08-01,2021-08-15,95,633,1,634,34122,9880,,,4.9,0,0,44002
2021-08-16,2021-08-31,94,308,0,308,17389,2295,,,4.9,0,0,19684
2021-09-01,2021-09-15,95,223,0,223,11034,2100,,,4.7,0,0,13134
2021-09-16,2021-09-30,93,356,0,356,18486,1495,,,4.9,0,0,19981
2021-10-01,2021-10-15,93,330,0,330,18069,1680,,,4.7,0,0,19749
2021-10-16,2021-10-31,93,545,2,547,28832,4940,,,4.7,0,0,33772
2021-11-01,2021-11-15,93,508,1,509,26587,4380,,,4.9,0,0,30967
2021-11-16,2021-11-30,93,499,0,499,26200,5465,,,4.8,0,0,31665
2021-12-01,2021-12-15,93,507,0,507,27728,4460,,,4.9,0,0,32188
2021-12-16,2021-12-31,92,488,3,491,25592,5565,,,4.7,0,0,31157
2022-01-01,2022-01-15,95,527,1,528,25927,6420,,,4.9,0,0,32347
2022-01-16,2022-01-31,93,693,1,694,36067,11250,,,5,0,0,47317
2022-02-01,2022-02-15,95,565,1,566,29588,8720,,,4.4,0,0,38308
2022-02-16,2022-02-28,93,511,3,514,26958,8265,,,5,0,0,35223
2022-03-01,2022-03-15,94,452,1,453,24976,3355,,,4.7,0,0,28331
2022-03-16,2022-03-31,93,577,1,578,30438,8320,,,5,0,0,38758
2022-04-01,2022-04-15,93,381,3,384,20526,2530,,,4.2,0,0,23056
2022-04-16,2022-04-30,93,419,2,421,22512,3190,,,5,0,0,25702
2022-05-01,2022-05-15,94,481,1,482,24591,6275,,,4.4,0,0,30866
2022-05-16,2022-05-31,95,459,1,460,23137,8235,,,5,0,0,31372
2022-06-01,2022-06-15,94,362,2,364,18782,4255,,,5,0,0,23037
