"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Absent","/ˈæbsənt/","adj.","absent, more absent, most absent","absence (n.), absentee (n.)","not being in a specified place","She was absent from school because she had a cold.","often absent; completely absent; frequently absent","A2"
"Active","/ˈæktɪv/","adj.","active, more active, most active","activity (n.), activeness (n.)","doing things or moving around often; full of energy","My grandfather stays active by walking in the park every day.","active listening; stay active; active support","A2"
"Activity","/æˈktɪvəti/","n.","activity, activities","active (adj.)","something that people do, especially for fun or a purpose","You won't have as much activity in your brain.","physical activity; daily activity; outdoor activity","A2"
"Accident","/ˈæksədənt/","n.","accident, accidents","accidental (adj.)","an unexpected event that causes damage or injury","It's not an accident and it's not easy.","a car accident; by accident; a serious accident","A2"
"Absence","/ˈæbsəns/","n. [U]","no changes","absent (adj.)","the state of being absent","Her long absence from school worried all of her teachers.","notable absence; complete absence; prolonged absence","A2"
"Addition","/əˈdɪʃən/","n.","addition, additions","add (v.)","a component that is added to something to improve it","The new sofa is a nice addition to our living room.","welcome addition; nice addition; cool addition","A2"
"Account","/əˈkaʊnt/","n.","account, accounts","accountant (n.), accounting (n.), accountable (adj.)","a service with a bank or website that lets you store money or information","She opened a new bank account at the local branch yesterday.","bank account; email account; personal account","A2"
"Address","/ˈæˌdɹɛs/","n.","address, addresses","addressee (n.), addressable (adj.)","the details of where someone lives or where a building is, such as the street name and number","She wrote her home address clearly on the envelope.","home address; email address; change your address","A2"
"Advice","/æˈdvaɪs/","n. [U]","no changes","None","a proposal for an appropriate course of action","No, you don't give advice to older you.","give advice; specific advice; common advice","A2"
"Actual","/ˈæktʃəwəl/","adj.","actual, more actual, most actual","actuality (n.), actualize (v.)","presently existing in fact and not merely potential or possible","The actual cost was higher than the price on the menu.","actual thing; actual return; actual quality","A2"
"Affair","/əˈfɛɹ/","n.","affair, affairs","None","an event or situation, often one of public or political importance","The newspaper reported on a diplomatic affair between the two countries.","foreign affair; mysterious affair; current affairs","A2"
"Advance","/əˈdvæns/","n.","advance, advances","advancer (n.), advancement (n.)","a movement forward","The team made great advances in science over the past decade.","technological advance; continued advance; in advance","A2"
"Adult","/əˈdʌlt/","n.","adult, adults","adulthood (n.)","a fully developed person from maturity onward","Every adult in the room had to show an ID card.","young adult; adult life; become an adult","A2"
"Ahead","/əˈhɛd/","adv.","no changes","None","at or in the front","She arrived ahead of time and waited for her friends outside.","step ahead; far ahead; stay ahead","A2"
"Aid","/ˈeɪd/","n. [U]","no changes","None","help or support given to someone who needs it","This one can aid with healing after an injury.","first aid; aid workers; foreign aid","A2"
