"phrase","definition","example","example_translation","context_type"
"Are you free","（口語）詢問對方現在或某時段是否有空","Mia called and asked, 'Are you free for lunch tomorrow?'","米雅打電話來問：『你明天有空一起吃午餐嗎？』","A1"
"Take your time","（口語）請對方慢慢來，不用趕","'Take your time,' Ben said. 'The store doesn't close until six.'","班說：『慢慢來，店裡要到六點才關門。』","A2"
"I'm afraid of heights","表示自己怕高或身處高處會害怕","At the rooftop bar, Leo admitted, 'I'm afraid of heights.'","在頂樓酒吧，里歐坦承：『我怕高。』","A2"
"Well, here we go","（口語）出發或事情即將開始時說，常帶期待或無奈","'Everyone ready?' 'Well, here we go,' Maya said as the doors opened.","『大家都準備好了嗎？』『好，要開始了。』門一開，瑪雅便說。","A2"
"It's a fine day","表示今天天氣很好，適合外出","Nina opened the curtains and said, 'It's a fine day for a picnic.'","妮娜拉開窗簾說：『今天天氣真好，適合去野餐。』","A1"
"How's it going","（口語）問候對方近況如何","'How's it going?' 'Pretty well—I just started a new job.'","『最近如何？』『挺好的，我剛開始一份新工作。』","A1"
"Never better","（口語）表示狀態好得不能再好","'How are you feeling today?' 'Never better—I slept for ten hours.'","『你今天感覺怎麼樣？』『好得不得了，我睡了十個小時。』","A2"
"Good to see you","（口語）見面時表示很高興看到對方","At the reunion, Maya smiled and said, 'Good to see you again.'","在同學會上，瑪雅笑著說：『很高興又見到你。』","A1"
"Come on in","（口語）招呼對方進門或進來","'Come on in,' Sam said, holding the door open for us.","山姆替我們扶著門說：『快進來吧。』","A1"
"Have a seat","（禮貌口語）請對方坐下","The receptionist smiled and said, 'Have a seat; the doctor will be with you soon.'","接待員微笑著說：『請坐，醫師很快就來。』","A1"
"Help yourself","（口語）請對方自行取用食物或物品","At the buffet, our host said, 'Help yourself to anything on the table.'","在自助餐桌旁，主人說：『桌上的東西請隨意取用。』","A2"
"Is this seat taken","詢問某個座位是否已有人使用","On the crowded train, I asked, 'Is this seat taken?'","在擁擠的火車上，我問：『這個位子有人坐嗎？』","A1"
"Go ahead","（口語）允許或鼓勵對方繼續做某事","'May I open the window?' 'Go ahead; it's stuffy in here.'","『我可以開窗嗎？』『開吧，這裡很悶。』","A2"
"This seat is taken","表示某個座位已有人使用","'Can I sit here?' 'Sorry, this seat is taken.'","『我可以坐這裡嗎？』『抱歉，這個位子有人了。』","A1"
"Scoot over a bit","（隨意口語）請對方稍微挪動一下","'Scoot over a bit so I can sit beside you,' Ava said.","艾娃說：『挪過去一點，讓我坐你旁邊。』","A2"
"Got a minute","（口語）詢問對方是否有一點時間","Jack tapped my shoulder and asked, 'Got a minute to talk?'","傑克拍了拍我的肩膀問：『有空聊一下嗎？』","A2"
"Take a look","（口語）請對方看一下某物","'Take a look at this photo,' Emma said. 'Isn't it beautiful?'","艾瑪說：『看看這張照片，是不是很美？』","A1"
"What's the holdup","（口語）詢問是什麼事情造成延誤","The customers were waiting, so one asked, 'What's the holdup?'","顧客們等了很久，其中一人問：『到底在耽擱什麼？』","B1"
"Get dressed","要對方穿好衣服，通常準備出門","'Get dressed,' Dad called. 'We need to leave in ten minutes.'","爸爸喊道：『把衣服穿好，我們十分鐘後得出門。』","A1"
"I'm running late","（口語）表示自己快要遲到或已耽擱","'I'm running late, so please start dinner without me,' Lia texted.","莉亞傳訊息說：『我來不及準時到，你們先吃晚餐，不用等我。』","A2"
"I gotta go","（口語）表示自己現在必須離開","When my bus pulled in, I told Noah, 'I gotta go—talk later.'","公車進站時，我告訴諾亞：『我得走了，晚點聊。』","A2"
"Here you are","（口語）遞東西給對方時說在這裡","The barista handed me my tea and said, 'Here you are.'","咖啡師把茶遞給我，說：『您的茶來了。』","A1"
"Sounds good","（口語）表示同意某個提議或安排","'Let's move the meeting to three.' 'Sounds good to me.'","『我們把會議改到三點吧。』『聽起來不錯。』","A1"
"Ready to go","表示已準備妥當，可以出發或開始","'Ready to go?' Dad asked after loading the last bag.","爸爸放好最後一個袋子後問：『準備好出發了嗎？』","A1"
"Wait for me","請對方停下來等自己跟上","'Wait for me!' Priya called as her friends crossed the bridge.","朋友們過橋時，普莉雅喊道：『等等我！』","A1"
"Good to go","（口語）表示已準備好或狀況沒問題","'Good to go,' the mechanic said after checking the brakes.","技師檢查煞車後說：『沒問題，可以上路了。』","A2"
"Here I am","表示自己已到場或讓人注意到自己","'Here I am,' Luis called when he spotted us at the station.","路易斯在車站看到我們時喊道：『我在這裡。』","A1"
"What's it called","詢問某個東西或地方的名稱","Nora pointed to the kitchen tool and asked, 'What's it called?'","諾拉指著那件廚房工具問：『這叫什麼？』","A1"
"Do something","催促對方採取行動處理問題","Water was pouring under the door, so Mei shouted, 'Do something!'","水正從門下湧進來，梅大喊：『快想想辦法！』","A1"
