"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Ago","/əˈɡoʊ/","adv.","no changes","None","in the past","They moved to this small city three years ago.","long ago; a moment ago; years ago","A1"
"Actress","/ˈæktɹəs/","n.","actress, actresses","None","a woman who acts in plays, films, or television shows","My sister wants to be a famous actress one day.","a famous actress; a young actress; a talented actress","A1"
"Abroad","/əˈbɹɔd/","adv.","no changes","None","to or in a foreign country","My sister wants to study abroad next year.","study abroad; routers produced abroad; traveling abroad","A1"
"Action","/ˈækʃən/","n.","action, actions","act (v.), actionable (adj.)","something done (usually as opposed to something said)","He is present at the point of action.","take action; action necessary; new action","A1"
"Ability","/əˈbɪləti/","n.","ability, abilities","None","the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment","She has the ability to learn new things fast.","charge ability; incredible ability; intellectual ability","A1"
"Air","/ˈɛɹ/","n. [U]","no changes","airy (adj.)","a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of","She opened the window to let fresh air into the room.","fresh air; in the air; clean air","A1"
"About","/əˈbaʊt/","prep.","no changes","None","on the subject of; approximately; in different directions within a place","We talked about our summer holiday plans last night.","talk about; talked about; understand about","A1"
"Able","/ˈeɪbəl/","adj.","able, abler, ablest","None","(usually followed by `to') having the necessary means or skill or know-how or authority to do something","It has to be able to do research.","able lift; able say; now able","A1"
"After","/ˈæftɚ/","prep.","no changes","None","later in time than something; following behind something or someone; in search of something","We walked home together after the movie ended.","day after; now after; particular after","A1"
"Across","/əˈkɹɔs/","prep.","no changes","None","from one side to the other of something; on the other side of something","She walked across the busy street to meet her friend.","come across; across africa; influence across","A1"
"Above","/əˈbʌv/","prep.","no changes","None","at a higher level or position than something; more than a number or amount","The picture hangs on the wall above my bed.","head above; already above; rise above","A1"
"Age","/ˈeɪdʒ/","n.","age, ages","None","how long something has existed","Your brain peaked at the age of two.","viking age; stone age; dark age","A1"
"Animal","/ˈænəməl/","n.","animal, animals","animalise (v.), animality (n.), animalize (v.)","a living organism characterized by voluntary movement","He's , ""I gave into my animal desires.","animal models; female animal; balloon animal","A1"
"All","/ˈɔl/","adv.","no changes","None","to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')","They had cut down all the trees.","all comes together; all together; go all","A1"
"Again","/əˈɡɛn/","adv.","no changes","None","Another time: indicating a repeat of an action.","I don't want to ever drink again.","go again; now again; again see again","A1"
"And","/ənd/","conj.","no changes","None","used to connect two words, phrases, or clauses of the same type; in addition to; as well as","I bought apples and oranges at the local market.","bread and butter; now and then; back and forth","A1"
"Along","/əˈlɔŋ/","prep.","no changes","None","moving from one end to the other of something; beside or next to something","We walked along the river on a sunny morning.","come along; went along; along those lines","A1"
"Almost","/ˈɔˌlmoʊst/","adv.","no changes","None","(of actions or states) slightly short of or not quite accomplished; all but","They were used as almost storage for gold.","almost exactly; thing almost; fact almost","A1"
"Afraid","/əˈfɹeɪd/","adj.","afraid, more afraid, most afraid","None","filled with fear or apprehension","Most people had warned us to be afraid to travel here.","always afraid; afraid anymore; often afraid","A1"
"Also","/ˈɔlsoʊ/","adv.","no changes","None","in addition","Then also, what does he do with it.","also find links; also changed; also known","A1"
"Always","/ˈɔˌlweɪz/","adv.","no changes","None","at all times; all the time and on every occasion","I've always been extremely confident of that.","always want; always going; always knew","A1"
"Although","/ˌɔˈlðoʊ/","conj.","no changes","None","despite the fact that; even though; used to introduce a statement that contrasts with the main clause","Although it was raining, we went for a walk.","yeah although; well although; although now","A1"
"Afternoon","/ˌæftɚˈnun/","n.","afternoon, afternoons","None","the part of the day between noon and evening","I feel I don't have that afternoon slump.","afternoon everyone; sunday afternoon; saturday afternoon","A1"
"Another","/əˈnʌðɚ/","adj.","no changes","None","one more of the same kind of thing","I would like another cup of tea.","another cup; another day; another one","A1"
"Answer","/ˈænsɚ/","n.","answer, answers","answerer (n.), answerable (adj.)","a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation","The AI spits out a textbased answer.","answer based; ai answer; machine giving answer","A1"
"Airport","/ˈɛˌɹpɔɹt/","n.","airport, airports","None","an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo","They always sound that in the airport.","lisbon airport; airport gave; airport looks","A1"
"Around","/ɚˈaʊnd/","prep.","no changes","None","on all sides of something; in a circle; approximately; throughout a place","The children ran around the garden all afternoon.","look around; all around; around the world","A1"
"Apple","/ˈæpəl/","n.","apple, apples","None","fruit with red or yellow or green skin and sweet to tart crisp whitish flesh","I love apples,"" or, ""I love bananas.","a red apple; apple juice; eat an apple","A1"
"Any","/ˈɛni/","adj.","no changes","None","one or some or every or all without specification","Do you have any questions about today's lesson?","make any; any sense; any attention","A1"
"Ant","/ˈænt/","n.","ant, ants","None","a very small insect that lives in large groups in the ground","A tiny ant walked across my hand.","a tiny ant; an ant hill; black ants","A1"
"Area","/ˈɛɹiə/","n.","area, areas","areal (adj.)","a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)","I've never been in this general area at all.","rural area; area called; specific area","A1"
"Already","/ɔˈlɹɛdi/","adv.","no changes","None","prior to a specified or implied time","It's already been integrated into, into OpenClaw.","enough already; hadn already; already told","A1"
"Apartment","/əˈpɑɹtmənt/","n.","apartment, apartments","None","a suite of rooms usually on one floor of an apartment house","He has a little apartment in this research lab.","apartment next; apartment complexes; trump apartment","A1"
"Act","/ˈækt/","v.","act, acts, acted, acted, acting","actor (n.), acting (n.), action (n.), actable (adj.), actuate (v.)","perform an action, or work out or perform (an action)","Don't act it's a democracy when it's not.","act because; act against; courageous act","A1"
"Appear","/əˈpɪɹ/","v.","appear, appears, appeared, appeared, appearing","appearance (n.)","to begin to be seen; to come into sight","The sun will appear over the hills very soon.","suddenly appear; appear on screen; appear in court","A1"
"Anything","/ˈɛniˌθɪŋ/","n. [U]","no changes","None","a thing of any kind; one or more things","You can ask me anything you want to know.","anything else; anything like that; hardly anything","A1"
"Agree","/əˈɡɹi/","v.","agree, agrees, agreed, agreed, agreeing","agreeable (adj.), agreement (n.)","be in accord; be in agreement","No, nobody agrees with me on this.","totally agree; agree though; generally agree","A1"
"Arm","/ˈɑɹm/","n.","arm, arms","armor (n.), armlet (n.), armament (n.)","a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb","I had blonde blazer around my arm.","upper arm; large arm; robotic arm","A1"
"Allow","/əˈlaʊ/","v.","allow, allows, allowed, allowed, allowing","allowable (adj.), allowance (n.)","to let someone do something or let something happen","My parents allow me to watch TV after dinner.","allow me to; not allowed to; allow people to","A1"
"Add","/ˈæd/","v.","add, adds, added, added, adding","adder (n.), addable (adj.), addible (adj.), addition (n.), additive (adj.)","to put something together with something else to make it bigger or more","Please add some sugar to my tea.","add sugar; add water; add a name","A1"
"Anyone","/ˈɛniˌwʌn/","n. [U]","no changes","None","Any person; anybody.","That's a terrible attitude for anyone to have.","tell anyone; anyone wants; obvious anyone","A1"
"Attack","/əˈtæk/","n.","attack, attacks","attacker (n.)","(military) an offensive against an enemy (using weapons)","They yell at them and attack immediately.","panic attack; chinese attack; major attack","A1"
"Angry","/ˈæŋɡɹi/","adj.","angry, angrier, angriest","angriness (n.)","feeling or showing anger","Then they get angry and then they lash out.","angry letter; gets angry; bed angry","A1"
"As","/ˈæz/","prep.","no changes","None","used to say what role or function something has; to the same degree; while; because","He works as a teacher at the local primary school.","well as; as fast; fast as","A1"
"At","/ˈæt/","prep.","no changes","None","used to say where someone or something is; used to say when something happens","We will meet at the train station around noon.","at some point; at home; looking at","A1"
"Arrive","/ɚˈaɪv/","v.","arrive, arrives, arrived, arrived, arriving","arrival (n.), arriver (n.)","reach a destination; arrive by movement or progress","We always arrive at school before nine.","now arrive; kennedy arrive; both arrive","A1"
"Be","/ˈbi/","v.","be, is, was, been, being","None","have the quality of being; (copula, used with an adjective or a predicate noun)","The sky can be very blue on a sunny day.","well-being; time-being; be-all","A1"
"Art","/ˈɑɹt/","n. [U]","no changes","arty (adj.), artist (n.), artistic (adj.)","the making of beautiful things like paintings and drawings","She studies modern art at the city university.","modern art; an art class; works of art","A1"
"Back","/ˈbæk/","n.","back, backs","backer (n.), backing (n.)","the part of your body behind you, from your neck to your bottom","My back hurts after the long walk.","a sore back; back pain; lie on your back","A1"
"Ask","/ˈæsk/","v.","ask, asks, asked, asked, asking","asker (n.)","to say something to someone because you want them to tell you something","I want to ask my teacher a simple question.","ask a question; ask for help; ask politely","A1"
"Away","/əˈweɪ/","adv.","no changes","awayness (n.)","from a particular thing or place or position (`forth' is obsolete)","They think I am running away from my company.","walk away; quite far away; strip away","A1"
"Band","/ˈbænd/","n.","band, bands","None","an unofficial association of people or groups","There's a energy that drives the band.","girl band; iconic band; band anymore","A1"
"Baby","/ˈbeɪbi/","n.","baby, babies","babyhood (n.)","a very young child (birth to 1 year) who has not yet begun to walk or talk","There's a store where you can go and get a baby.","premature baby; baby hitler; kill baby","A1"
"Bad","/ˈbæd/","adj.","bad, worse, worst","badness (n.)","not good; of poor quality or unpleasant","The weather was very bad on our trip.","a bad idea; bad weather; feel bad","A1"
"Bat","/ˈbæt/","n.","bat, bats","batter (n.), batting (n.)","nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate","I wouldn't say necessarily off the bat.","bat innate immune; bat distributed; taste bat","A1"
"Baseball","/ˈbeɪˈsbɔl/","n.","baseball, baseballs","None","a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs","I had I played baseball for a long time.","major league baseball; baseball classic; baseball mitt","A1"
"Basketball","/ˈbæskəˌtbɔl/","n.","basketball, basketballs","None","a game in which two teams throw a ball through a high net","We play basketball at school every week.","play basketball; a basketball team; a basketball game","A1"
"Aunt","/ˈænt/","n.","aunt, aunts","None","the sister of your father or mother; the wife of your uncle","Your aunt came and took care of her.","aunt send; aunt walked; aunt grandparents","A1"
"Bank","/ˈbæŋk/","n.","bank, banks","banker (n.), banking (n.), bankable (adj.)","sloping land (especially the slope beside a body of water)","They sat on the grassy bank by the river.","bank accounts; bank account here; lead bank","A1"
