word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Accidental,/ˌæksəˈdɛntəl/,adj.,"accidental, more accidental, most accidental",accident (n.),happening by chance or unexpectedly or unintentionally｜意外地、非預期地或非故意地發生,And whatever value that has is offset by the risk of an accidental launch.,accidental mutation; accidental discovery; accidental launch,B2
Acceptance,/æˈksɛptəns/,n. [U],no changes,"accept (v.), acceptant (adj.)",willingness to receive or approve of something; the act of accepting a situation or person as they are｜願意接收或贊同某事物；接受現實情況或他人的行為,"And you and then that helps them because you are radiating that acceptance that they need to come to, which is hard.",consumer acceptance; social acceptance; gain acceptance,B2
Abstract,/æbsˈtɹækt/,adj.,"abstract, more abstract, most abstract","abstraction (n.), abstractly (adv.)",based on ideas or concepts rather than specific physical things; not concrete｜基於觀念或概念而非具體事物；不具體的,The theory is too abstract to explain with a simple physical model.,quite abstract; abstract beings; purely abstract,B2
Absolute,/ˈæbsəˌlut/,adj.,no changes,absoluteness (n.),perfect or complete or pure｜完美、完整或純粹的,The judge made an absolute ruling that left no room for argument or appeal.,absolute terms; absolute certainty; absolute power,B2
Accent,/əˈksɛnt/,n.,"accent, accents","accentual (adj.), accentuate (v.)",distinctive manner of oral expression｜獨特的說話方式,She could easily identify his regional accent and knew he came from the south.,heavy accent; foreign accent; regional accent,B2
Access,/ˈæˌksɛs/,n. [U],no changes,"accession (n.), accessible (adj.)",the right to enter｜進入的權利,Students have free access to the online library.,lose access; gain access; internet access,B2
Accountant,/əˈkaʊntənt/,n.,"accountant, accountants","account (v.), accountancy (n.), accountantship (n.)",someone who maintains and audits business accounts｜編制和審計商業帳目的人,She hired an accountant to manage the company's annual tax filings.,public accountant; senior accountant; certified accountant,B2
Acquaintance,/əˈkweɪntəns/,n.,"acquaintance, acquaintances","acquaint (v.), acquaintanceship (n.)",a person you know slightly but who is not a close friend｜你稍微認識但不是親密朋友的人,And this was an acquaintance of both of ours.,brief acquaintance; mutual acquaintance; close acquaintance,B2
Academic,/ˌækəˈdɛmɪk/,adj.,"academic, more academic, most academic","academia (n.), academically (adv.)","relating to education and study, especially at a school or university｜關於教育和學習的，尤指中小學或大學","In addition, the paper provides a survey-based implementation guide for benchmarking current climate-risk practices and data needs across industry and academic stakeholders.",academic literature; average academic; academic study,B2
Addict,/əˈdɪkt/,n.,"addict, addicts","addiction (n.), addictive (adj.)","a person who is physically or mentally dependent on a substance, especially a drug｜對某種物質（尤其是藥物）在身體或心理上依賴的人",We had a guest on this podcast who's a self-admitted gambling addict.,drug addict; morphine addict; recovering addict,B2
Accuracy,/ˈækjɚəsi/,n. [U],no changes,None,the quality of being near to the true value｜接近真實數值的品質,Recent breakthroughs in magneto-surgical microrobots enable precise three-dimensional navigation through complex arterial networks to deliver localized drug treatments with unprecedented accuracy.,reasonable accuracy; high accuracy; improve accuracy,B2
Adequate,/ˈædəkwət/,adj.,"adequate, more adequate, most adequate","adequacy (n.), adequately (adv.)",having the requisite qualities or resources to meet a task｜具有完成任務所需的品質或資源,We find that popular keyword-based models are not adequate for such a complex and evolving task.,perfectly adequate; adequate resources; adequate nutrition,B2
Admirable,/ˈædmɚəbəl/,adj.,"admirable, more admirable, most admirable","admirability (n.), admirableness (n.)",deserving of the highest esteem or admiration｜值得最高敬意或欽佩,The legacy of World War II and the Japanese people’s admirable commitment to peace created a taboo against anything resembling war — one that still lingers today.,admirable quality; think it's admirable; deeply admirable,B2
Admiration,/ˌædmɚˈeɪʃən/,n. [U],no changes,admire (v.),a feeling of delighted approval and liking｜愉悅的贊同和喜愛之情,"And going all the way to Constantinople, and having a deep admiration for Constantinople, enough to then begin to dream of sacking Constantinople.",deep admiration; romantic admiration; shared admiration,B2
Admission,/æˈdmɪʃən/,n. [U],no changes,admit (v.),the act of admitting someone to enter｜允許某人進入的行為,His admission to the university surprised everyone who knew him.,own admission; free admission; admission of guilt,B2
Accompany,/əˈkʌmpəni/,v.,"accompany, accompanies, accompanied, accompanied, accompanying",accompaniment (n.),be present or associated with an event or entity｜出席或與事件或實體相關聯,The examples are accompanied by detailed tutorials and code samples that allow readers to apply the methods described in this review to their own data.,accompany someone home; accompany on a visit; be accompanied by,B2
Accomplish,/əˈkɑmplɪʃ/,v.,"accomplish, accomplishes, accomplished, accomplished, accomplishing","accomplishable (adj.), accomplishment (n.)",put in effect｜付諸實行,The team accomplished its main goal ahead of schedule.,accomplish a goal; accomplish a task; accomplish the mission,B2
Accuse,/əˈkjuz/,v.,"accuse, accuses, accused, accused, accusing","accusation (n.), accusatory (adj.)",bring an accusation against; level a charge against｜指控；提出控告,There's been no shenanigans other than both sides accusing each other of spying on each other constantly.,falsely accuse; accuse of conspiracy; accuse state,B2
Adapt,/əˈdæpt/,v.,"adapt, adapts, adapted, adapted, adapting","adaptation (n.), adaptable (adj.)","make fit for, or change to suit a new purpose｜調整使適合新的用途","He spent much time on this box, it's adapted to him.",adapt to changes; adapt to environment; quickly adapt,B2
Adjust,/əˈdʒʌst/,v.,"adjust, adjusts, adjusted, adjusted, adjusting","adjuster (n.), adjustor (n.), adjustive (adj.), adjustable (adj.), adjustment (n.)",alter or regulate so as to achieve accuracy or conform to a standard｜改變或調整以達到準確性或符合標準,"And there's a couple guys who are adjusting color, aperture, and all that stuff.",adjust to change; constantly adjust; adjust the schedule,B2
Absorb,/əˈbzɔɹb/,v.,"absorb, absorbs, absorbed, absorbed, absorbing","absorber (n.), absorbate (n.), absorbent (adj.), absorbable (adj.), absorption (n.), absorptive (adj.)","to take in or soak up something, such as information, liquid, or energy｜吸收或浸泡某物，如資訊、液體或能量",Look at a page and somehow absorb all that information and commit it to memory.,absorb everything; completely absorb; absorb cost,B2
Acquire,/əˈkwaɪɚ/,v.,"acquire, acquires, acquired, acquired, acquiring","acquisition (n.), acquisitive (adj.)",come into the possession of something concrete or abstract｜獲得具體或抽象事物的所有權,"This process maps the independent components of the sensory input onto the attractor relics, which acquire in this way a semantic meaning.",acquire knowledge; acquire skills; acquire power,B2
Adopt,/əˈdɑpt/,v.,"adopt, adopts, adopted, adopted, adopting","adoptee (n.), adopter (n.), adoption (n.), adoptive (adj.), adoptable (adj.)","choose and follow; as of theories, ideas, policies, strategies or plans｜採納；採用（理論、想法、政策、策略或計劃）",Teams adopting async-first workflows report significantly higher productivity than those relying on synchronous real-time meetings for coordination.,adopt approach; adopt strategy; adopt technology,B2
Agreeable,/əˈɡɹiəbəl/,adj.,"agreeable, more agreeable, most agreeable","agreeably (adv.), agree (v.)",pleasant and easy to like or accept; willing to agree｜令人愉快的；和藹的；欣然同意的,There's no guarantee under the First Amendment that you that everyone that speaks will say things that you find pleasing and agreeable.,particularly agreeable; agreeable manner; pretty agreeable,B2
Allowance,/əˈlaʊəns/,n.,"allowance, allowances",allow (v.),an amount allowed or granted (as during a given period)｜津貼；零用錢；限額,His parents gave him a weekly allowance to cover school lunches and bus fare.,finite allowance; make allowance; got an allowance,B2
Agency,/ˈeɪdʒənsi/,n.,"agency, agencies","agent (n.), agential (adj.)",an organization providing a service; the capacity to act independently and make choices｜代理機構；能動性,Designers are embracing imperfection and glitch effects as a form of visual protest to signal human agency and digital soul.,high agency; human agency; federal agency,B2
Ambiguous,/æˈmbɪɡjuəs/,adj.,"ambiguous, more ambiguous, most ambiguous","ambiguity (n.), ambiguously (adv.)",open to more than one interpretation; having an unclear meaning｜含糊不清的；模棱兩可的,"However, automating this process is a challenge, as climate change is a complex, fast-moving, and often ambiguous topic with scarce resources for popular text-based AI tasks.",highly ambiguous; an ambiguous statement; morally ambiguous,B2
Alcohol,/ˈælkəˌhɑl/,n. [U],no changes,"alcoholic (adj.), alcoholize (v.)",a liquor or brew containing alcohol as the active agent｜酒精；酒類,I don't want to hear that alcohol is bad for me.,alcohol problem; drink alcohol; avoid alcohol,B2
