"phrase","definition","example","example_translation","context_type"
"On the fence","猶豫不決的;尚未決定的","I'm still on the fence about whether to accept the job offer.","我對於是否接受這份工作邀約仍猶豫不決。","B2"
"Break the ice","打破僵局;使氣氛變得輕鬆","Maya told a funny story to break the ice at the start of the meeting.","會議一開始,瑪雅講了一個有趣的故事來打破僵局。","B1"
"Call it a day","收工;結束今天的工作","We've finished the main tasks, so let's call it a day.","我們已經完成主要工作了,今天就到此為止吧。","B1"
"Get the hang of","掌握…的訣竅;逐漸學會…","It took me a few tries to get the hang of using the new software.","我試了幾次才掌握這套新軟體的使用訣竅。","B2"
"In the long run","從長遠來看;長期而言","Taking the train will save us money in the long run.","從長遠來看,搭火車能替我們省錢。","B1"
"Keep an eye on","留意;照看","Could you keep an eye on my bag while I order some coffee?","我去點咖啡時,你可以幫我照看一下包包嗎?","B1"
"Out of the blue","出乎意料地;突然地","An old friend called me out of the blue last night.","昨晚一位老朋友突然打電話給我。","B2"
"A piece of cake","輕而易舉的事","The repair looked difficult, but it was a piece of cake for Elena.","那項修理看起來很難,但對艾蓮娜來說輕而易舉。","B1"
"Under the weather","身體不適;有點不舒服","I'm feeling under the weather, so I'll stay home and rest today.","我有點不舒服,所以今天會待在家休息。","B1"
"Go the extra mile","付出額外努力;多做一些","Our teacher always goes the extra mile to help students who are struggling.","老師總是不辭辛勞,額外幫助學習上遇到困難的學生。","B2"
"Hit the nail on the head","一語中的;說中問題要害","You hit the nail on the head when you said the team needed clearer goals.","你說團隊需要更明確的目標,真是一語中的。","B2"
"Once in a blue moon","極少;難得一次","We eat at expensive restaurants only once in a blue moon.","我們極少去昂貴的餐廳用餐。","B1"
