word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Conversant,/kəˈnvɝsənt/,adj.,"conversant, more conversant, most conversant","conversance (n.), conversancy (n.)",familiar with or knowledgeable about something｜熟悉某事物的;對某事物有知識的,The lawyer was conversant with all the latest legal precedents in tax law.,conversant with the subject; conversant in multiple languages; conversant on current events,C2
Contrite,/kənˈtɹaɪt/,adj.,"contrite, more contrite, most contrite",contriteness (n.),feeling or expressing pain or sorrow for sins or offenses｜對罪過感到痛苦或悲傷的;表示悔恨的,The contrite defendant apologized profusely for his actions in court.,contrite apology; contrite expression; contrite heart,C2
Convivial,/kəˈnvɪviəl/,adj.,"convivial, more convivial, most convivial",conviviality (n.),occupied with or fond of the pleasures of good company｜樂於交際的;愛好社交的,The convivial atmosphere at the party made everyone feel welcome and included.,convivial atmosphere; convivial gathering; convivial mood,C2
Conundrum,/kəˈnʌndɹəm/,n.,"conundrum, conundrums",None,a difficult problem｜難題;困境,The conundrum of how to reduce traffic congestion puzzled city planners.,solve a conundrum; face a conundrum; present a conundrum,C2
Cordial,/ˈkɔɹdʒəl/,adj.,"cordial, more cordial, most cordial",cordiality (n.),diffusing warmth and friendliness｜散發溫暖和友善的;熱情的,She gave him a cordial smile and invited him to join the group.,cordial greeting; cordial relationship; cordial invitation,C2
Copious,/ˈkoʊpiəs/,adj.,"copious, more copious, most copious","copiously (adv.), copiousness (n.)",large in number or quantity; abundant｜大量的;豐富的,The professor provided copious notes to supplement the lecture.,copious notes; copious amounts; copious details,C2
Corrosive,/kɚˈoʊsɪv/,adj.,"corrosive, more corrosive, most corrosive","corrode (v.), corrosion (n.)","of a substance, especially a strong acid; capable of destroying or eating away by chemical action｜能夠通過化學作用破壞或侵蝕的;腐蝕性的",The corrosive acid ate through the metal container in minutes.,corrosive substance; corrosive effect; corrosive criticism,C2
Cosmopolitan,/ˌkɑzməˈpɑlətən/,adj.,"cosmopolitan, more cosmopolitan, most cosmopolitan",None,having a sophisticated awareness and appreciation of many different countries and cultures; worldly｜對不同國家和文化有成熟認識的;見多識廣的;世界性的,The cosmopolitan city attracted visitors from all over the world.,cosmopolitan city; cosmopolitan culture; cosmopolitan outlook,C2
Corpulent,/ˈkɔːpjələnt/,adj.,"corpulent, more corpulent, most corpulent",corpulence (n.),excessively fat｜過度肥胖的,The corpulent man struggled to fit into the airplane seat.,corpulent figure; corpulent man; corpulent appearance,C2
Convene,/kəˈnvin/,v.,"convene, convenes, convened, convened, convening","convener (n.), convening (n.), convention (n.)",To come together; to meet; to unite.｜聚集;集合;會合,The committee decided to convene a meeting to discuss the budget issues.,convene a meeting; convene an assembly; convene the committee,C2
Corroborate,/kɚˈɑbɚˌeɪt/,v.,"corroborate, corroborates, corroborated, corroborated, corroborating","corroboration (n.), corroborative (adj.)",establish or strengthen as with new evidence or facts｜用新的證據或事實來證實或加強,The witness testimony corroborated the victim's account of the incident.,corroborate evidence; corroborate the story; corroborate the findings,C2
Convalesce,/ˌkɑnvəˈlɛs/,v.,"convalesce, convalesces, convalesced, convalesced, convalescing","convalescent (adj.), convalescence (n.)",get over an illness or shock｜從疾病或衝擊中康復,"After a week in bed, she began to convalesce and regain her strength.",convalesce at home; convalesce after surgery; convalesce from illness,C2
Countenance,/ˈkaʊntənəns/,n.,"countenance, countenances",None,the appearance conveyed by a person's face｜面部表情;面容,His countenance was serious as he delivered the news about the company's layoffs.,stern countenance; change countenance; maintain countenance,C2
Covert,/ˈkoʊvɚt/,adj.,"covert, more covert, most covert","covertly (adv.), covertness (n.)",not openly shown; concealed｜不公開顯示的;隱藏的,The spy used covert signals to communicate with his contacts.,covert operation; covert surveillance; covert affair,C2
Contrived,/kənˈtɹaɪvd/,adj.,"contrived, more contrived, most contrived",None,deliberately created and appearing artificial or forced｜故意創造的;顯得人為或勉強的,The film's plot felt contrived and failed to convince the audience.,contrived plot; contrived excuse; contrived solution,C2
Convoke,/kənˈvoʊk/,v.,"convoke, convokes, convoked, convoked, convoking",convocation (n.),call together｜召集,The principal decided to convoke a school assembly to address the recent bullying incidents.,convoke a meeting; convoke the council; convoke the assembly,C2
Converge,/kəˈnvɝdʒ/,v.,"converge, converges, converged, converged, converging","convergent (adj.), converging (n.), convergence (n.), convergency (n.)",be adjacent or come together｜鄰接;會合;匯聚,"The two rivers converge near the edge of the forest, forming a larger body of water.",converge on a point; converge in time; converge in space,C2
Covetous,/ˈkʌvətəs/,adj.,"covetous, more covetous, most covetous",covetousness (n.),showing extreme cupidity; painfully desirous of another's advantages｜表現出極端貪心的;對他人的優勢痛苦渴望的,The covetous businessman was always looking for ways to outdo his competitors.,covetous gaze; covetous of wealth; covetous of power,C2
Craven,/ˈkɹeɪvən/,n.,"craven, cravens",cravenness (n.),an abject coward｜卑鄙的懦夫,The soldier was labeled a craven after he fled the battlefield.,craven coward; craven behavior; craven act,C2
Crass,/ˈkɹæs/,adj.,"crass, more crass, most crass",crassness (n.),(of persons) so unrefined as to be lacking in discrimination and sensibility｜粗魯且缺乏辨別力和感受力的,His crass comments at the dinner party offended many of the guests.,crass behavior; crass remark; crass ignorance,C2
