"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Ornithology","/ˌɔɹnɪˈθɑlədʒi/","n. [U]","no changes","None","鳥類學（研究鳥類的科學分支）","Her lifelong passion for ornithology led her to publish three books on migratory birds.","field ornithology; ornithology enthusiast; amateur ornithology","C1"
"Primp","/ˈpɹɪmp/","v.","primp, primps, primped, primped, primping","None","精心打扮；裝飾","""Then I promise I'll let you take your bath and primp all day for your date.""","primp in the mirror; primp before going out; primp and preen","C1"
"Aberration","/ˌæbɚˈeɪʃən/","n.","aberration, aberrations","None","偏離常軌；異常；失常","The sudden drop in sales was an aberration, not indicative of the company's long-term performance.","a statistical aberration; chromatic aberration; temporary aberration","C1"
"Cadaver","/kəˈdævɚ/","n.","cadaver, cadavers","cadaverous (adj.)","屍體（尤指解剖用的）","Medical students made their first incision on a cadaver in the anatomy lab.","human cadaver; cadaver dissection; cadaver lab","C1"
"Herbivorous","/hɜːrˈbɪvərəs/","adj.","no changes","herbivore (n.), herbivory (n.)","食草的","The sauropod was a herbivorous dinosaur that browsed on conifers and ferns throughout the Jurassic period.","herbivorous dinosaur; herbivorous species; herbivorous animal","C1"
"Vogue","/ˈvoʊɡ/","n. [U]","no changes","None","流行；風尚","Miniskirts were the vogue in the '60s.","in vogue; come into vogue; vogue for minimalism","C1"
"Forte","/ˈfɔɹteɪ/","n.","forte, fortes","None","長處；特長","He writes respectably, but poetry is not his forte.","his particular forte; not my forte; her main forte","C1"
"Vie","/vaɪ/","v.","vie, vies, vied, vied, vying","None","競爭；爭奪","Several research groups continue to vie for supremacy in developing the most efficient solar cell.","vie for supremacy; vie for dominance; vie for position","C1"
"Inkling","/ˈɪŋklɪŋ/","n.","inkling, inklings","None","略知；暗示；跡象","You ought to know something of French habits, at your age. You must have read books that give an inkling of it.","first inkling; slightest inkling; have an inkling","C1"
"Cache","/ˈkæʃ/","n.","cache, caches","None","隱藏處；藏匿物；高速緩衝記憶體","Members of the 29-man Discovery team laid down caches to allow the polar team to travel light, hopping from cache to cache on their return journey.","a hidden cache; cache of weapons; secret supply cache","C1"
"Xenophile","/ˈzɛnəfaɪl/","n.","xenophile, xenophiles","None","喜愛外國事物者","A true xenophile, she eagerly embraced foreign customs, cuisines and languages wherever she traveled.","a true xenophile; an unapologetic xenophile; xenophile tendencies","C1"
"Badger","/ˈbædʒɚ/","v.","badger, badgers, badgered, badgered, badgering","None","煩擾；糾纏","She badgered her parents into buying her a new laptop.","badger someone into; stop badgering me; badger relentlessly","C1"
