"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Discreet","/dɪˈskrit/","adj.","discreet, more discreet, most discreet","discreetly (adv.), discretion (n.)","謹慎的；考慮周到的","To avoid unwanted attention, the diplomat made a discreet exit through the back door of the embassy yesterday.","a discreet silence; discreet inquiries; highly discreet","B1"
"Sporadic","/spəˈrædɪk/","adj.","sporadic, more sporadic, most sporadic","sporadically (adv.)","偶發的；零星的","More than 100 people have been killed this year in sporadic outbursts of ethnic violence.","sporadic fighting; sporadic gunfire; sporadic outbreaks","B1"
"Ephemeral","/ɪˈfɛmərəl/","adj.","ephemeral, more ephemeral, most ephemeral","ephemerally (adv.)","短暫的；朝生暮死的","Fame in the world of rock and pop can be quite ephemeral, often fading as quickly as it appears in the public eye.","ephemeral beauty; ephemeral nature; ephemeral fashion","B1"
"Hazardous","/ˈhæzərdəs/","adj.","hazardous, more hazardous, most hazardous","hazardously (adv.), hazard (n.)","危險的；有害的｜dangerous, especially to people's health or safety","Exposure to hazardous chemicals without proper protective equipment can cause serious long-term health problems.","hazardous materials; hazardous waste; hazardous conditions","B1"
"Hazard","/ˈhæzərd/","n.","hazard, hazards","hazardous (adj.)","危險；隱患","The accumulation of toxic industrial waste poses a severe and long-term health hazard to the local ecosystem.","a health hazard; fire hazard; occupational hazard","B1"
"Precarious","/prɪˈkɛriəs/","adj.","precarious, more precarious, most precarious","precariously (adv.), precariousness (n.)","不穩定的；危險的","Many borrowers now find themselves caught in a precarious financial position.","a precarious position; precarious situation; financially precarious","B1"
"Poised","/pɔɪzd/","adj.","poised, more poised, most poised","poise (v.)","準備就緒的；鎮定的","He sat with his pencil poised, ready to take notes the moment the professor began the complex lecture.","poised for success; poised to act; calm and poised","B1"
"Haziness","/ˈheɪzinəs/","n. [U]","no changes","hazy (adj.)","朦朧；模糊","A thick haziness settled over the harbor, making it impossible for ships to navigate safely.","mental haziness; a slight haziness; haziness of the sky","B1"
"Hazy","/ˈheɪzi/","adj.","hazy, hazier, haziest","hazily (adv.), haziness (n.)","朦朧的；模糊不清的","I have a hazy memory of those early childhood years, struggling to recall specific details of our old house.","hazy memories; hazy sunshine; a hazy idea","B1"
"Rationale","/ˌræʃəˈnæl/","n.","rationale, rationales","rational (adj.)","基本理由；邏輯依據","I don't understand the rationale for these new parking restrictions being implemented across the university campus.","the underlying rationale; rationale behind the decision; provide a rationale","B1"
"Ample","/ˈæmpəl/","adj.","ample, ampler, amplest","amply (adv.)","充足的；寬敞的","There is ample evidence to suggest that regular exercise improves both physical and mental health.","ample evidence; ample time; ample opportunity","B1"
"Deficient","/dɪˈfɪʃənt/","adj.","deficient, more deficient, most deficient","deficiency (n.), deficiently (adv.)","缺乏的；有缺陷的","A diet deficient in vitamin D may affect your bones and overall health.","deficient in vitamins; highly deficient; mentally deficient","C1"
"Bloodshed","/ˈblʌdʃɛd/","n. [U]","no changes","None","流血；殺戮｜the killing or wounding of people, typically on a large scale during a conflict","Diplomatic negotiations were held in an effort to prevent further bloodshed in the disputed border region.","prevent bloodshed; widespread bloodshed; avoid bloodshed","B1"
"Rational","/ˈræʃənəl/","adj.","rational, more rational, most rational","rationally (adv.), rationality (n.)","理性的；合理的","He was too upset and in that state of mind he couldn't make a rational decision.","rational thought; a rational decision; rational explanation","B1"
"Irrational","/ɪˈræʃənəl/","adj.","irrational, more irrational, most irrational","irrationally (adv.), irrationality (n.)","不理智的；無理性的","She had an irrational fear of elevators, so she always took the stairs no matter how high the floor.","irrational fear; irrational behavior; highly irrational","C1"
"Hideous","/ˈhɪdiəs/","adj.","hideous, more hideous, most hideous","hideously (adv.), hideousness (n.)","極醜的；可怕的","The hideous scar on his face was a constant reminder of the accident that had nearly killed him.","a hideous crime; hideous monster; looking hideous","B1"
"Profuse","/prəˈfjus/","adj.","profuse, more profuse, most profuse","profusely (adv.), profusion (n.)","大量的；豐富的","She was admitted to the hospital with profuse bleeding after the severe accident on the construction site.","profuse apologies; profuse bleeding; profuse sweating","B1"
"Galore","/ɡəˈlɔr/","adj.","galore, more galore, most galore","None","大量的；豐富的","The spring festival had food, music, and prizes galore, attracting thousands of visitors from across the region.","bargains galore; prizes galore; opportunities galore","B1"
"Evasive","/ɪˈveɪsɪv/","adj.","evasive, more evasive, most evasive","evasively (adv.), evasiveness (n.)","逃避的；推託的","The mayor was her usual evasive self, skillfully dodging reporters' questions.","take evasive action; an evasive answer; evasive maneuvers","B1"
"Perplex","/pərˈplɛks/","v.","perplex, perplexes, perplexed, perplexed, perplexing","perplexed (adj.), perplexing (adj.), perplexity (n.)","使困惑；使複雜化","The sudden and unexplained spread of the new disease has continued to perplex doctors and medical researchers.","deeply perplex; perplex the mind; perplex the issue","C1"
"Confound","/kənˈfaʊnd/","v.","confound, confounds, confounded, confounded, confounding","confounded (adj.), confounding (adj.)","使震驚；使困惑","The magician's ability to confound the audience with his illusions made the show truly unforgettable.","confound expectations; confound the critics; completely confound","B1"
"Spurious","/ˈspjʊriəs/","adj.","spurious, more spurious, most spurious","spuriously (adv.), spuriousness (n.)","虛假的；偽造的","The researcher dismissed the evidence as spurious, noting that it had been fabricated to support a flawed conclusion.","spurious claims; spurious argument; entirely spurious","B1"
"Pliable","/ˈplaɪəbəl/","adj.","pliable, more pliable, most pliable","pliability (n.)","柔韌的；易受影響的","The newly developed plastic material becomes highly pliable and easy to mold if it is heated to a specific temperature.","pliable material; a pliable mind; soft and pliable","C1"
"Unyielding","/ʌnˈjildɪŋ/","adj.","unyielding, more unyielding, most unyielding","unyieldingly (adv.)","堅硬的；不屈的","The negotiators faced an unyielding opponent who refused to compromise on any of the key terms.","unyielding resolve; unyielding surface; firm and unyielding","B1"
"Aloof","/əˈluf/","adj.","aloof, more aloof, most aloof","aloofness (n.)","冷漠的；疏遠的","She seemed rather aloof during the social gathering, when in fact she was just feeling shy and overwhelmed.","remain aloof; keep aloof; aloof demeanor","B1"
"Biased","/ˈbaɪəst/","adj.","biased, more biased, most biased","bias (n.)","有偏見的；偏袒的","The local newspapers gave a very biased report of the town hall meeting, clearly favoring the mayor's perspective.","heavily biased; biased towards; biased against","B1"
"Unbiased","/ʌnˈbaɪəst/","adj.","unbiased, more unbiased, most unbiased","None","無偏見的；公正的","Her unbiased attitude towards her studies helped her excel in every subject she pursued.","unbiased advice; an unbiased opinion; completely unbiased","C1"
"Phlegmatic","/flɛɡˈmætɪk/","adj.","phlegmatic, more phlegmatic, most phlegmatic","phlegmatically (adv.)","冷靜的；遲鈍的","He is a retired lawyer with a solid, phlegmatic manner, rarely showing emotion even during stressful situations.","a phlegmatic temperament; phlegmatic approach; remaining phlegmatic","C1"
"Stoic","/ˈstoʊɪk/","n.","stoic, stoics","stoically (adv.), stoicism (n.)","堅忍的人；克制情感的人","As a lifelong stoic, Marcus Aurelius practiced remaining calm and rational regardless of his external circumstances.","like a stoic; true stoic; act as a stoic","C1"
"Callous","/ˈkæləs/","adj.","callous, more callous, most callous","callously (adv.), callousness (n.)","冷酷無情的","His callous response to the victim's suffering shocked everyone who witnessed the incident.","a callous disregard; callous remark; seemingly callous","B1"
"Callus","/ˈkæləs/","n.","callus, calluses","callused (v.)","老繭；硬皮","After weeks of heavy lifting and manual labor, thick calluses began to form on his palms and fingers.","develop a callus; thick callus; a rough callus","C1"
"Robust","/roʊˈbʌst/","adj.","robust, more robust, most robust","robustly (adv.), robustness (n.)","強健的；結實的","The robust economy created thousands of new jobs and significantly reduced unemployment across the country.","robust health; robust economy; robust flavor","C1"
"In the pink","/ɪn ðə pɪŋk/","adj.","no changes","None","非常健康的","After a week of rest, he was feeling in the pink and ready to return to work.","in the pink; right in the pink; in the pink of health","B1"
"Chipper","/ˈtʃɪpər/","adj.","chipper, more chipper, most chipper","None","精神爽朗的；活潑的","Despite the gloomy weather, she cheered us up with her warm and chipper tones as soon as she entered the office.","feeling chipper; look chipper; sound chipper","B1"
"Ancestral","/ænˈsɛstrəl/","adj.","ancestral, more ancestral, most ancestral","ancestor (n.), ancestry (n.)","祖先的；祖傳的","The family returned to their ancestral home in Scotland after several generations living abroad.","ancestral home; ancestral lands; ancestral roots","C1"
"Ancestor","/ˈænsɛstər/","n.","ancestor, ancestors","ancestral (adj.), ancestry (n.)","祖先；先驅","Archaeologists have discovered several ancient tools that were used by our early ancestors to hunt large mammals.","common ancestor; early ancestor; ancient ancestor","C1"
"Therapeutic","/ˌθɛrəˈpjutɪk/","adj.","therapeutic, more therapeutic, most therapeutic","therapeutically (adv.), therapy (n.)","治療的；有療效的","Many doctors recommend yoga as a therapeutic activity for patients recovering from anxiety and depression.","therapeutic benefits; therapeutic effect; highly therapeutic","C1"
"Lenient","/ˈliniənt/","adj.","lenient, more lenient, most lenient","leniently (adv.), leniency (n.)","寬容的；仁慈的","People in my country believe that judges are too lenient with murder suspects.","a lenient sentence; too lenient; lenient with","C1"
"Lax","/læks/","adj.","lax, laxer, laxest","laxity (n.), laxly (adv.)","鬆懈的；不嚴格的","The airport authorities were found to be incredibly lax in investigating the recent security breaches at the terminal.","lax security; lax regulations; too lax","B1"
"Truce","/trus/","n.","truce, truces","None","休戰；停戰協定","The two rival gangs agreed to call a truce during the holiday season to prevent further violence.","call a truce; declare a truce; temporary truce","B1"
"Indefinitely","/ɪnˈdɛfənɪtli/","adv.","indefinitely, more indefinitely, most indefinitely","indefinite (adj.)","無限期地；無止境地","Due to the ongoing financial crisis, the construction of the new community center has been postponed indefinitely.","postpone indefinitely; delay indefinitely; suspend indefinitely","B1"
"Luster","/ˈlʌstər/","n. [U]","no changes","lustrous (adj.)","光澤；光彩","After being carefully cleaned by the restorer, the antique gold crown regained its original luster and brilliance.","lose its luster; restore luster; add luster to","B1"
"Incandescence","/ˌɪnkænˈdɛsəns/","n. [U]","no changes","incandescent (adj.)","白熾；熾熱","The incandescence of the molten metal lit up the entire foundry with an intense orange glow.","glow with incandescence; brilliant incandescence; pure incandescence","C1"
"Incandescent","/ˌɪnkænˈdɛsənt/","adj.","incandescent, more incandescent, most incandescent","incandescence (n.)","白熾的；熱情洋溢的","The sun blazed down from an incandescent sky, making it nearly impossible to stay outside without proper shade.","incandescent light bulb; incandescent glow; incandescent performance","C1"
"Luminous","/ˈlumənəs/","adj.","luminous, more luminous, most luminous","luminosity (n.), luminously (adv.)","發光的；明亮的","This special synthetic fabric has a highly luminous quality that makes it visible even in complete darkness.","luminous dial; luminous colors; luminous beauty","C1"
"Luminosity","/ˌluməˈnɑsəti/","n. [U]","no changes","luminous (adj.)","發光度；明亮","The amount of light entering the building is controlled, allowing maximum brightness and luminosity.","high luminosity; star's luminosity; glowing luminosity","C1"
"Conviction","/kənˈvɪkʃən/","n.","conviction, convictions","convict (n.)","定罪；堅定的信念","She spoke with such conviction that everyone in the room believed she was telling the truth.","deep conviction; religious conviction; previous convictions","C1"
"Pragmatism","/ˈpræɡməˌtɪzəm/","n. [U]","no changes","pragmatic (adj.), pragmatist (n.)","實用主義；務實作風","The mayor was widely known for his political pragmatism, often choosing practical solutions over ideological purity.","political pragmatism; economic pragmatism; pure pragmatism","C1"
"Pragmatic","/præɡˈmætɪk/","adj.","pragmatic, more pragmatic, most pragmatic","pragmatically (adv.), pragmatism (n.)","務實的；實用主義的","He was highly practical and would come up with pragmatic solutions on various issues.","a pragmatic approach; pragmatic solution; highly pragmatic","C1"
"Concurrent","/kənˈkɜrənt/","adj.","no changes","concurrently (adv.), concurrence (n.)","同時發生的；並發的","The two concurrent trials related to the same scandal attracted massive media attention simultaneously.","concurrent events; run concurrent; concurrent with","C1"
"Aftermath","/ˈæftərˌmæθ/","n.","aftermath, aftermaths","None","後果；餘波","In the aftermath of the earthquake, thousands of displaced families sought shelter in temporary camps.","in the aftermath; aftermath of the war; deal with the aftermath","B1"
"Plausible","/ˈplɔzəbəl/","adj.","plausible, more plausible, most plausible","plausibility (n.), plausibly (adv.)","貌似真實的；有道理的","There is no definite answer, but if the question itself is analyzed, a plausible answer might surface.","a plausible explanation; plausible excuse; highly plausible","B1"
"Bilingual","/baɪˈlɪŋɡwəl/","adj.","no changes","bilingualism (n.)","雙語的；能流利使用兩種語言的","Growing up in a bilingual household gave her a natural advantage when learning foreign languages at school.","bilingual education; become bilingual; bilingual dictionary","C1"
"Prior","/ˈpraɪər tu/","adj.","no changes","None","在...之前","Prior to the Revolutionary War, the United States was a British colony.","prior to the meeting; weeks prior to; immediately prior to","B1"
"Resistant","/rɪˈzɪstənt/","adj.","resistant, more resistant, most resistant","resistance (n.), resist (v.)","抵抗的；有抵抗力的","Many of the older institutions were resistant to the sweeping technological changes proposed by the new administration.","water resistant; disease resistant; highly resistant","C1"
"Luxurious","/lʌɡˈʒʊriəs/","adj.","luxurious, more luxurious, most luxurious","luxuriously (adv.), luxury (n.)","奢華的；極為舒適的","As he got older, his cars became faster and probably more expensive and luxurious.","a luxurious hotel; luxurious lifestyle; deeply luxurious","B1"
"Ostentatious","/ˌɑstɛnˈteɪʃəs/","adj.","ostentatious, more ostentatious, most ostentatious","ostentatiously (adv.), ostentation (n.)","炫耀的；賣弄的","His ostentatious display of jewelry and luxury cars made his wealth impossible to ignore.","ostentatious display; ostentatious lifestyle; rather ostentatious","B1"
"Flourish","/ˈflɜrɪʃ/","v.","flourish, flourishes, flourished, flourished, flourishing","flourishing (v.)","繁榮；興旺","This specific type of tropical plant flourishes in hot and humid regions, requiring minimal maintenance to grow.","begin to flourish; flourish in; businesses flourish","C1"
"Conspicuous","/kənˈspɪkjuəs/","adj.","conspicuous, more conspicuous, most conspicuous","conspicuously (adv.)","顯眼的；引人注目的","The most conspicuous fact is that people now live better than half a century ago.","highly conspicuous; conspicuous consumption; conspicuous by absence","B2"
"Evident","/ˈɛvədənt/","adj.","evident, more evident, most evident","evidently (adv.), evidence (n.)","明顯的；明白的","It was evident from her expression that she was deeply upset by the unexpected news.","clearly evident; become evident; self-evident","B1"
"Vague","/veɪɡ/","adj.","vague, more vague, most vague","vaguely (adv.), vagueness (n.)","模糊的；不明確的","The news reports remain uncertain, and the details surrounding the incident are still clouded and extremely vague.","a vague idea; vague memory; deliberately vague","B1"
"Open-and-shut","/ˌoʊpən ən ˈʃʌt/","adj.","open-and-shut, more open-and-shut, most open-and-shut","None","一目了然的；簡單明瞭的","The detective thought it was an open-and-shut case until the prime suspect was murdered.","an open-and-shut case; open-and-shut issue; seemingly open-and-shut","B1"
"Pioneering","/ˌpaɪəˈnɪrɪŋ/","adj.","pioneering, more pioneering, most pioneering","pioneer (v.)","開創性的；先驅的","Her pioneering research on gene editing opened up new possibilities in the treatment of hereditary diseases.","pioneering work; pioneering spirit; a pioneering study","C1"
"Pioneer","/ˌpaɪəˈnɪr/","n.","pioneer, pioneers","pioneering (v.)","先驅；拓荒者","Marie Curie was a true pioneer in the field of radioactivity, winning two Nobel Prizes for her groundbreaking research.","a true pioneer; space pioneer; early pioneers","B1"
"Avant-garde","/ˌævɑnˈɡɑrd/","adj.","avant-garde, more avant-garde, most avant-garde","None","前衛的；先鋒的","The gallery showcased avant-garde installations that challenged traditional notions of what art should look like.","avant-garde art; avant-garde film; extremely avant-garde","C1"
"Initial","/ɪˈnɪʃəl/","adj.","no changes","initially (adv.), initiate (v.)","最初的；開始的","Her initial reaction to the news was shock, but she quickly composed herself and began planning next steps.","initial reaction; initial stage; initial thought","C1"
"Trailblazing","/ˈtreɪlˌbleɪzɪŋ/","adj.","trailblazing, more trailblazing, most trailblazing","trailblazer (n.)","開創性的；先驅的","The engineer's trailblazing approach to battery design has already attracted interest from major automotive manufacturers.","trailblazing efforts; a trailblazing leader; trailblazing research","C1"
"Ambivalent","/æmˈbɪvələnt/","adj.","ambivalent, more ambivalent, most ambivalent","ambivalently (adv.), ambivalence (n.)","矛盾的；搖擺不定的","She felt ambivalent about the job offer, torn between the higher salary and the longer commute.","feel ambivalent; ambivalent attitude; ambivalent about","C1"
"Bashful","/ˈbæʃfəl/","adj.","bashful, more bashful, most bashful","bashfully (adv.), bashfulness (n.)","害羞的；羞怯的","Suddenly becoming bashful in front of the large audience, the young boy could think of absolutely nothing to say.","a bashful smile; bashful about; quite bashful","B1"
"Conceited","/kənˈsitɪd/","adj.","conceited, more conceited, most conceited","conceit (n.), conceitedly (adv.)","自負的；驕傲自滿的","He was so conceited that he refused to accept any criticism of his work, insisting he was always right.","highly conceited; sound conceited; arrogant and conceited","B1"
"Haughty","/ˈhɔti/","adj.","haughty, haughtier, haughtiest","haughtily (adv.), haughtiness (n.)","傲慢的；高傲的","He was a haughty young musician with a loyal fan base, often treating local journalists with obvious disdain.","a haughty look; haughty demeanor; proud and haughty","B1"
"Egoistic","/ˌiɡoʊˈɪstɪk/","adj.","egoistic, more egoistic, most egoistic","egoistically (adv.), egoism (n.)","自我中心的；自私自利的","Everything we experience is normally experienced from an egoistic point of view.","egoistic behavior; highly egoistic; an egoistic person","C1"
"Contemptuous","/kənˈtɛmptʃuəs/","adj.","contemptuous, more contemptuous, most contemptuous","contemptuously (adv.), contempt (n.)","輕蔑的；鄙視的","The diplomat’s contemptuous disregard for international law led to a significant breakdown in negotiations.","a contemptuous look; contemptuous of; deeply contemptuous","B1"
"Assuming","/əˈsumɪŋ/","adj.","assuming, more assuming, most assuming","assume (v.)","傲慢的；僭越的","She was assuming in her manner, taking it for granted that everyone would follow her lead.","an assuming attitude; too assuming; highly assuming","B1"
"Arrogant","/ˈærəɡənt/","adj.","arrogant, more arrogant, most arrogant","arrogantly (adv.), arrogance (n.)","傲慢的；狂妄自大的","His colleagues found him incredibly arrogant, refusing to consider their ideas even when they were clearly better than his own.","an arrogant tone; arrogant attitude; incredibly arrogant","B1"
"Compelling","/kəmˈpɛlɪŋ/","adj.","compelling, more compelling, most compelling","compellingly (adv.), compel (v.)","evoking strong interest, attention, or conviction; convincing","She made a compelling argument that changed everyone's mind.","compelling case; compelling argument; compelling evidence","B1"
"At random","/æt ˈrændəm/","adv.","no changes","None","隨機地；任意地","The teacher selected a student at random to answer the difficult question.","choose at random; pick at random; selected at random","B1"
"Propagate","/ˈprɑpəˌɡeɪt/","v.","propagate, propagates, propagated, propagated, propagating","propagation (n.), propagator (n.)","傳播；繁殖","Most plant species are propagated by their seeds collected fresh and sown immediately.","propagate ideas; propagate plants; successfully propagate","C1"
"Emerge","/ɪˈmɜrdʒ/","v.","emerge, emerges, emerged, emerged, emerging","emergence (n.), emergent (adj.)","出現；浮現","Serious structural problems began to emerge only a few months after the corporate merger was officially completed.","emerge from; slowly emerge; evidence emerges","B1"
"Dormant","/ˈdɔrmənt/","adj.","no changes","dormancy (n.)","休眠的；靜止的","During the prolonged drought, many desert seeds remain dormant in the soil until sufficient rainfall triggers germination.","lie dormant; dormant volcano; remain dormant","C1"
"Inactive","/ɪnˈæktɪv/","adj.","inactive, more inactive, most inactive","inactivity (n.)","不活動的；閒置的","After his retirement from the military, he led a relatively inactive life compared to his previous demanding career.","physically inactive; remain inactive; currently inactive","B1"
"Preserve","/prɪˈzɜrv/","v.","preserve, preserves, preserved, preserved, preserving","preservation (n.), preservative (n.)","保護；保存","Archaeologists carefully document each excavation site in order to preserve fragile artifacts for future scholarly analysis.","preserve the environment; preserve tradition; carefully preserve","C1"
"Supplement","/ˈsʌpləmənt/","v.","supplement, supplements, supplemented, supplemented, supplementing","supplementary (adj.), supplementation (n.)","補充；增補","Many students supplement their lecture notes with material drawn from peer-reviewed academic journals.","supplement income; supplement diet; supplement with","C1"
"Supplementary","/ˌsʌpləˈmɛntəri/","adj.","supplementary, more supplementary, most supplementary","supplement (n.)","補充的；附加的","I want my child to spend more time on the supplementary reading materials.","supplementary materials; supplementary income; provide supplementary","C1"
"Extensive","/ɪkˈstɛnsɪv/","adj.","extensive, more extensive, most extensive","extensively (adv.), extension (n.)","廣泛的；大量的","The research team conducted extensive surveys across multiple continents to gather sufficient data for their study.","extensive damage; extensive knowledge; extensive research","B1"
"Steep","/stip/","v.","steep, steeps, steeped, steeped, steeping","None","浸泡；使沉浸於","To extract the most flavor from the premium leaves, you should steep the tea in boiling water for at least five minutes.","steep in tea; let it steep; steep oneself in","C1"
"Contract","/kənˈtrækt/","v.","contract, contracts, contracted, contracted, contracting","contraction (n.)","收縮；感染","When metal is exposed to cold temperatures, it tends to contract and become slightly smaller in size.","muscles contract; contract a virus; contract slightly","C1"
"Halt","/hɔlt/","n.","halt, halts","halting (adj.)","暫停；停頓","The sudden failure of the local electrical grid brought industrial production to a complete halt for several hours.","grind to a halt; bring to a halt; temporary halt","B1"
