word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Discreet,/dɪˈskrit/,adj.,"discreet, more discreet, most discreet","discreetly (adv.), discretion (n.)",careful and prudent in action or speech; showing good judgment｜謹慎的；考慮周到的,"To avoid unwanted attention, the diplomat made a discreet exit through the back door of the embassy yesterday.",a discreet silence; discreet inquiries; highly discreet,B1
Sporadic,/spəˈrædɪk/,adj.,"sporadic, more sporadic, most sporadic",sporadically (adv.),occurring irregularly; scattered; intermittent｜偶發的；零星的,More than 100 people have been killed this year in sporadic outbursts of ethnic violence.,sporadic fighting; sporadic gunfire; sporadic outbreaks,B1
Ephemeral,/ɪˈfɛmərəl/,adj.,"ephemeral, more ephemeral, most ephemeral",ephemerally (adv.),lasting for a very short time; transitory｜短暫的；朝生暮死的,"Fame in the world of rock and pop can be quite ephemeral, often fading as quickly as it appears in the public eye.",ephemeral beauty; ephemeral nature; ephemeral fashion,B1
Hazardous,/ˈhæzərdəs/,adj.,"hazardous, more hazardous, most hazardous","hazardously (adv.), hazard (n.)",dangerous; involving risk of harm or injury｜危險的；有害的,Exposure to hazardous chemicals without proper protective equipment can cause serious long-term health problems.,hazardous materials; hazardous waste; hazardous conditions,B1
Hazard,/ˈhæzərd/,n.,"hazard, hazards",hazardous (adj.),danger; hazard｜危險；隱患,The accumulation of toxic industrial waste poses a severe and long-term health hazard to the local ecosystem.,a health hazard; fire hazard; occupational hazard,B1
Precarious,/prɪˈkɛriəs/,adj.,"precarious, more precarious, most precarious","precariously (adv.), precariousness (n.)",unstable; dangerous｜不穩定的；危險的,Many borrowers now find themselves caught in a precarious financial position.,a precarious position; precarious situation; financially precarious,B1
Poised,/pɔɪzd/,adj.,"poised, more poised, most poised",poise (v.),ready; composed｜準備就緒的；鎮定的,"He sat with his pencil poised, ready to take notes the moment the professor began the complex lecture.",poised for success; poised to act; calm and poised,B1
Haziness,/ˈheɪzinəs/,n. [U],no changes,hazy (adj.),haziness; obscurity｜朦朧；模糊,"A thick haziness settled over the harbor, making it impossible for ships to navigate safely.",mental haziness; a slight haziness; haziness of the sky,B1
Hazy,/ˈheɪzi/,adj.,"hazy, hazier, haziest","hazily (adv.), haziness (n.)",hazy; unclear｜朦朧的；模糊不清的,"I have a hazy memory of those early childhood years, struggling to recall specific details of our old house.",hazy memories; hazy sunshine; a hazy idea,B1
Rationale,/ˌræʃəˈnæl/,n.,"rationale, rationales",rational (adj.),basic reason; logical basis｜基本理由；邏輯依據,I don't understand the rationale for these new parking restrictions being implemented across the university campus.,the underlying rationale; rationale behind the decision; provide a rationale,B1
Ample,/ˈæmpəl/,adj.,"ample, ampler, amplest",amply (adv.),ample; spacious｜充足的；寬敞的,There is ample evidence to suggest that regular exercise improves both physical and mental health.,ample evidence; ample time; ample opportunity,B1
Deficient,/dɪˈfɪʃənt/,adj.,"deficient, more deficient, most deficient","deficiency (n.), deficiently (adv.)",deficient; defective｜缺乏的；有缺陷的,A diet deficient in vitamin D may affect your bones and overall health.,deficient in vitamins; highly deficient; mentally deficient,C1
Bloodshed,/ˈblʌdʃɛd/,n. [U],no changes,None,bloodshed; killing｜流血；殺戮,Diplomatic negotiations were held in an effort to prevent further bloodshed in the disputed border region.,prevent bloodshed; widespread bloodshed; avoid bloodshed,B1
Rational,/ˈræʃənəl/,adj.,"rational, more rational, most rational","rationally (adv.), rationality (n.)",rational; reasonable｜理性的；合理的,He was too upset and in that state of mind he couldn't make a rational decision.,rational thought; a rational decision; rational explanation,B1
Irrational,/ɪˈræʃənəl/,adj.,"irrational, more irrational, most irrational","irrationally (adv.), irrationality (n.)",irrational; unreasonable｜不理智的；無理性的,"She had an irrational fear of elevators, so she always took the stairs no matter how high the floor.",irrational fear; irrational behavior; highly irrational,C1
Hideous,/ˈhɪdiəs/,adj.,"hideous, more hideous, most hideous","hideously (adv.), hideousness (n.)",hideous; terrible｜極醜的；可怕的,The hideous scar on his face was a constant reminder of the accident that had nearly killed him.,a hideous crime; hideous monster; looking hideous,B1
Profuse,/prəˈfjus/,adj.,"profuse, more profuse, most profuse","profusely (adv.), profusion (n.)",profuse; abundant｜大量的；豐富的,She was admitted to the hospital with profuse bleeding after the severe accident on the construction site.,profuse apologies; profuse bleeding; profuse sweating,B1
Galore,/ɡəˈlɔr/,adj.,no changes,None,galore; abundant｜大量的；豐富的,"The spring festival had food, music, and prizes galore, attracting thousands of visitors from across the region.",bargains galore; prizes galore; opportunities galore,B1
Evasive,/ɪˈveɪsɪv/,adj.,"evasive, more evasive, most evasive","evasively (adv.), evasiveness (n.)",evasive; shifty｜逃避的；推託的,"The mayor was her usual evasive self, skillfully dodging reporters' questions.",take evasive action; an evasive answer; evasive maneuvers,B1
Perplex,/pərˈplɛks/,v.,"perplex, perplexes, perplexed, perplexed, perplexing","perplexed (adj.), perplexing (adj.), perplexity (n.)",to perplex; to complicate｜使困惑；使複雜化,The sudden and unexplained spread of the new disease has continued to perplex doctors and medical researchers.,perplex researchers; perplex the audience; continue to perplex,C1
Confound,/kənˈfaʊnd/,v.,"confound, confounds, confounded, confounded, confounding",confounding (adj.),to confound; to bewilder｜使困惑；使不知所措,The magician's ability to confound the audience with his illusions made the show truly unforgettable.,confound expectations; confound the critics; completely confound,B1
Spurious,/ˈspjʊriəs/,adj.,"spurious, more spurious, most spurious","spuriously (adv.), spuriousness (n.)",spurious; fabricated｜虛假的；偽造的,"The researcher dismissed the evidence as spurious, noting that it had been fabricated to support a flawed conclusion.",spurious claims; spurious argument; entirely spurious,B1
Pliable,/ˈplaɪəbəl/,adj.,"pliable, more pliable, most pliable",pliability (n.),pliable; flexible｜柔韌的；易受影響的,The newly developed plastic material becomes highly pliable and easy to mold if it is heated to a specific temperature.,pliable material; a pliable mind; soft and pliable,C1
Unyielding,/ʌnˈjildɪŋ/,adj.,"unyielding, more unyielding, most unyielding",unyieldingly (adv.),unyielding; rigid｜堅硬的；不屈的,The negotiators faced an unyielding opponent who refused to compromise on any of the key terms.,unyielding resolve; unyielding surface; firm and unyielding,B1
Aloof,/əˈluf/,adj.,"aloof, more aloof, most aloof",aloofness (n.),cold; aloof｜冷漠的；疏遠的,"She seemed rather aloof during the social gathering, when in fact she was just feeling shy and overwhelmed.",remain aloof; keep aloof; aloof demeanor,B1
Biased,/ˈbaɪəst/,adj.,"biased, more biased, most biased",bias (n.),biased; partial｜有偏見的；偏袒的,"The local newspapers gave a very biased report of the town hall meeting, clearly favoring the mayor's perspective.",heavily biased; biased towards; biased against,B1
Unbiased,/ʌnˈbaɪəst/,adj.,"unbiased, more unbiased, most unbiased",None,unbiased; fair｜無偏見的；公正的,The independent panel provided an unbiased assessment of the evidence.,unbiased advice; an unbiased opinion; completely unbiased,C1
Phlegmatic,/flɛɡˈmætɪk/,adj.,"phlegmatic, more phlegmatic, most phlegmatic",phlegmatically (adv.),calm; sluggish｜冷靜的；遲鈍的,"He is a retired lawyer with a solid, phlegmatic manner, rarely showing emotion even during stressful situations.",a phlegmatic temperament; phlegmatic approach; remaining phlegmatic,C1
Stoic,/ˈstoʊɪk/,n.,"stoic, stoics","stoically (adv.), stoicism (n.)",resolute; emotionally restrained｜堅忍的人；克制情感的人,"As a lifelong stoic, Marcus Aurelius practiced remaining calm and rational regardless of his external circumstances.",like a stoic; true stoic; act as a stoic,C1
Callous,/ˈkæləs/,adj.,"callous, more callous, most callous","callously (adv.), callousness (n.)",cold; unfeeling｜冷酷無情的,His callous response to the victim's suffering shocked everyone who witnessed the incident.,a callous disregard; callous remark; seemingly callous,B1
Callus,/ˈkæləs/,n.,"callus, calluses",callused (v.),callus; hardened skin｜老繭；硬皮,"After weeks of heavy lifting and manual labor, thick calluses began to form on his palms and fingers.",develop a callus; thick callus; a rough callus,C1
Robust,/roʊˈbʌst/,adj.,"robust, more robust, most robust","robustly (adv.), robustness (n.)",strong; sturdy｜強健的；結實的,The robust economy created thousands of new jobs and significantly reduced unemployment across the country.,robust health; robust economy; robust flavor,C1
In the pink,/ɪn ðə pɪŋk/,adj.,no changes,None,in excellent health｜非常健康的,"After a week of rest, he was feeling in the pink and ready to return to work.",in the pink; right in the pink; in the pink of health,B1
Chipper,/ˈtʃɪpər/,adj.,"chipper, more chipper, most chipper",None,cheerful; lively｜精神爽朗的；活潑的,"Despite the gloomy weather, she cheered us up with her warm, chipper manner.",feeling chipper; look chipper; sound chipper,B1
Ancestral,/ænˈsɛstrəl/,adj.,"ancestral, more ancestral, most ancestral","ancestor (n.), ancestry (n.)",ancestral; hereditary｜祖先的；祖傳的,The family returned to their ancestral home in Scotland after several generations living abroad.,ancestral home; ancestral lands; ancestral roots,C1
Ancestor,/ˈænsɛstər/,n.,"ancestor, ancestors","ancestral (adj.), ancestry (n.)",ancestor; pioneer｜祖先；先驅,Archaeologists have discovered several ancient tools that were used by our early ancestors to hunt large mammals.,common ancestor; early ancestor; ancient ancestor,C1
Therapeutic,/ˌθɛrəˈpjutɪk/,adj.,"therapeutic, more therapeutic, most therapeutic","therapeutically (adv.), therapy (n.)",therapeutic; curative｜治療的；有療效的,Many doctors recommend yoga as a therapeutic activity for patients recovering from anxiety and depression.,therapeutic benefits; therapeutic effect; highly therapeutic,C1
Lenient,/ˈliniənt/,adj.,"lenient, more lenient, most lenient","leniently (adv.), leniency (n.)",lenient; merciful｜寬容的；仁慈的,People in my country believe that judges are too lenient with murder suspects.,a lenient sentence; too lenient; lenient with,C1
Lax,/læks/,adj.,"lax, laxer, laxest","laxity (n.), laxly (adv.)",lax; slack｜鬆懈的；不嚴格的,The airport authorities were found to be incredibly lax in investigating the recent security breaches at the terminal.,lax security; lax regulations; too lax,B1
Truce,/trus/,n.,"truce, truces",None,truce; armistice｜休戰；停戰協定,The two rival gangs agreed to call a truce during the holiday season to prevent further violence.,call a truce; declare a truce; temporary truce,B1
Indefinitely,/ɪnˈdɛfənɪtli/,adv.,"indefinitely, more indefinitely, most indefinitely",indefinite (adj.),indefinitely; endlessly｜無限期地；無止境地,"Due to the ongoing financial crisis, the construction of the new community center has been postponed indefinitely.",postpone indefinitely; delay indefinitely; suspend indefinitely,B1
Luster,/ˈlʌstər/,n. [U],no changes,lustrous (adj.),luster; sheen｜光澤；光彩,"After being carefully cleaned by the restorer, the antique gold crown regained its original luster and brilliance.",lose its luster; restore luster; add luster to,B1
Incandescence,/ˌɪnkænˈdɛsəns/,n. [U],no changes,incandescent (adj.),incandescence; white heat｜白熾；熾熱,The incandescence of the molten metal lit up the entire foundry with an intense orange glow.,glow with incandescence; brilliant incandescence; pure incandescence,C1
Incandescent,/ˌɪnkænˈdɛsənt/,adj.,"incandescent, more incandescent, most incandescent",incandescence (n.),incandescent; passionate｜白熾的；熱情洋溢的,"The sun blazed down from an incandescent sky, making it nearly impossible to stay outside without proper shade.",incandescent light bulb; incandescent glow; incandescent performance,C1
Luminous,/ˈlumənəs/,adj.,"luminous, more luminous, most luminous","luminosity (n.), luminously (adv.)",emitting light; bright｜發光的；明亮的,This special synthetic fabric has a highly luminous quality that makes it visible even in complete darkness.,luminous dial; luminous colors; luminous beauty,C1
Luminosity,/ˌluməˈnɑsəti/,n. [U],no changes,luminous (adj.),luminous intensity; brightness｜發光度；明亮,"The amount of light entering the building is controlled, allowing maximum brightness and luminosity.",high luminosity; star's luminosity; glowing luminosity,C1
