"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Sanction","/ˈsæŋkʃən/","n.","sanction, sanctions","sanctionative (adj.)","formal and explicit approval","The city council's sanction was required before the construction project could begin.","impose sanctions; lift sanctions; economic sanctions","C2"
"Sanguine","/ˈsæŋɡwɪn/","adj.","sanguine, more sanguine, most sanguine","sanguinely (adv.), sanguinity (n.)","confidently optimistic and cheerful","Despite the challenges, the team remained sanguine about their chances of winning the championship.","sanguine outlook; sanguine mood; remain sanguine","C2"
"Salutary","/ˈsæljəˌtɛɹi/","adj.","salutary, more salutary, most salutary","None","tending to promote physical well-being; beneficial to health","Regular exercise has a salutary effect on both physical and mental health.","salutary effect; salutary influence; salutary advice","C2"
"Salient","/ˈseɪliənt/","adj.","salient, more salient, most salient","salience (n.), saliently (adv.)","having a quality that thrusts itself into attention","The salient feature of the new design was its sleek and modern appearance.","salient feature; salient point; salient detail","C2"
"Sardonic","/sɑˈɹdɑnɪk/","adj.","sardonic, more sardonic, most sardonic","sardonically (adv.)","disdainfully or ironically humorous; scornful and mocking","His sardonic remarks about the political situation left the audience both amused and slightly uncomfortable.","sardonic smile; sardonic humor; sardonic remark","C2"
"Saturnine","/ˈsætənaɪn/","adj.","saturnine, more saturnine, most saturnine","None","bitter or scornful","The saturnine detective rarely smiled, preferring to maintain a serious demeanor.","saturnine expression; saturnine disposition; saturnine personality","C2"
"Salubrious","/səˈlu.bɹi.əs/","adj.","salubrious, more salubrious, most salubrious","salubriously (adv.), salubriousness (n.)","promoting health; healthful","The salubrious climate of the mountains attracted many people seeking a healthier lifestyle.","salubrious environment; salubrious climate; salubrious effect","C2"
"Scathing","/ˈskeɪðɪŋ/","adj.","scathing, more scathing, most scathing","scathingly (adv.)","marked by harshly abusive criticism","The scathing review of the restaurant left no doubt about the critic's opinion of the food.","scathing criticism; scathing review; scathing attack","C2"
"Savant","/səˈvɑnt/","n.","savant, savants","None","someone who has been admitted to membership in a scholarly field","As a savant in the field of astrophysics, she was often invited to speak at international conferences.","renowned savant; distinguished savant; academic savant","C2"
"Secular","/ˈsɛkjəlɚ/","adj.","secular, more secular, most secular","secularism (n.), secularize (v.)","of or relating to the doctrine that rejects religion and religious considerations","The university's secular approach to education focused on science and reason rather than religious doctrine.","secular society; secular worldview; secular values","C2"
"Scintilla","/sɪˈntɪlə/","n.","scintilla, scintillas","scintillate (v.), scintillating (v.)","a tiny or scarcely detectable amount","There was not a scintilla of evidence to support the allegations made against him.","scintilla of doubt; scintilla of evidence; not a scintilla","C2"
"Scrupulous","/ˈskɹupjələs/","adj.","scrupulous, more scrupulous, most scrupulous","scrupulously (adv.), scruple (n.)","having scruples; arising from a sense of right and wrong; principled","Her scrupulous attention to detail ensured that the project was completed with the utmost accuracy.","scrupulous attention; scrupulous honesty; scrupulous adherence","C2"
