word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Pharmacy,/ˈfɑɹməsi/,n.,"pharmacy, pharmacies","pharmacist (n.), pharmaceutic (adj.), pharmaceutical (adj.)",A shop where medicines are prepared and sold.｜配製並出售藥物的商店,She collected her medicine from the pharmacy near the train station.,local pharmacy; hospital pharmacy; online pharmacy,C2
Persistence,/pɚˈsɪstəns/,n. [U],no changes,"persist (v.), persistent (adj.)",The property of being persistent.｜持續存在的特性,"Consequently, we deduce that across different macroeconomic states the nature and maturity of borrowing influence the persistence and endurance of the relation between determinants and borrowing.",sheer persistence; persistence pays off; persistence in the face of adversity,C2
Plague,/ˈpleɪɡ/,n.,"plague, plagues","plaguy (adj.), plaguey (adj.)","The bubonic plague, the pestilent disease caused by the virulent bacterium Yersinia pestis.｜腺鼠疫，由劇毒细菌耶爾森氏菌引起的傳染病","For example, Homer in ""The Iliad"" in the first book talks about a plague sweeping through the Mycenaean troops that are besieging Troy.",modern plague; great plague; bring plague,C2
Persistent,/pɚˈsɪstənt/,adj.,"persistent, more persistent, most persistent","persist (v.), persistence (n.), persistency (n.)",Obstinately refusing to give up or let go.｜頑固地拒絕放棄或放手,Her persistent cough finally convinced her to make an appointment with the doctor.,persistent myth; persistent issues; persistent infection,C2
Plantation,/ˌplæˈnteɪʃən/,n.,"plantation, plantations",None,A large farm; estate or area of land designated for agricultural growth. Often includes housing for the owner and workers.｜大型農場；用於農業種植的土地或莊園，常包括所有者和工人的住房,These plantations produced far more than the surrounding farms.,sugar plantation; rubber plantation; coffee plantation,C2
Pneumonia,/nuˈmoʊnjə/,n. [U],no changes,pneumonic (adj.),respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants｜由病毒、細菌或刺激物引起的肺實質發炎的呼吸道疾病（不包括支氣管）,"Unfortunately, the cold seeped through Bacon’s own body, and within weeks pneumonia claimed him.",bacterial pneumonia; pneumonia treatment; develop pneumonia,C2
Playwright,/ˈpleɪˌɹaɪt/,n.,"playwright, playwrights",None,someone who writes plays｜編寫劇本的人,The young playwright spent three years revising her first full-length drama before it was staged.,incredible playwright; female playwright; successful playwright,C2
Pinch,/ˈpɪntʃ/,v.,"pinch, pinches, pinched, pinched, pinching",None,squeeze tightly between the fingers｜用手指用力捏,"It can be an assault to ""tap"", ""pinch"", ""push"", or direct another such minor action toward another, but an accidental application of force is not an assault.",pinch the skin; pinch someone's arm; pinch tightly,C2
Plow,/ˈplaʊ/,v.,"plow, plows, plowed, plowed, plowing","plower (n.), plowing (n.)",to break and turn over earth especially with a plow｜翻土，尤其用犁翻耕,In autumn the farmers returned to the fields to plow the soil before the first frost.,plow through; plow up; plow through regulations,C2
Poultry,/ˈpoʊltɹi/,n. [U],no changes,None,a domesticated gallinaceous bird thought to be descended from the red jungle fowl｜被認為源自紅原雞的家養雉類鳥,"Most of the Algerian dishes are centred around bread, meats (lamb, beef or poultry), olive oil, vegetables, and fresh herbs.",raise poultry; fresh poultry; poultry farm,C2
Pony,/ˈpoʊni/,n.,"pony, ponies",None,"a small horse, especially one of a breed defined by short stature｜小型馬，尤指矮種馬",The child learned to ride a pony at the local stable.,ride a pony; small pony; pony trek,C2
Precedent,/ˈpɹɛsɪdənt/,n.,"precedent, precedents","precedence (n.), precedented (adj.)",An act in the past which may be used as an example to help decide the outcome of similar instances in the future.｜過去的行為，可作為先例來幫助決定未來類似情況的結果,But they didn't have a lot of other resources or precedent for what they were doing.,set a precedent; legal precedent; without precedent,C2
Ponder,/ˈpɑndɚ/,v.,"ponder, ponders, pondered, pondered, pondering",ponderer (n.),"To wonder, think of deeply.｜深思、沉思",We’re pondering implementing further CoT generation regimes.,ponder life; ponder secrets; ponder success,C2
Polar,/ˈpoʊlɚ/,adj.,"polar, more polar, most polar",polarity (n.),Of or relating to the North or South Pole or the regions around them; extremely cold.｜北極或南極或其周圍地區的；極冷的,The expedition studied how polar ice sheets are slowly shrinking each year.,polar head; polar plunge; polar opposite,C2
Populate,/ˈpɑpjəˌleɪt/,v.,"populate, populates, populated, populated, populating",population (n.),To supply with inhabitants; to people.｜居住於；使…有居民,"It generates selection pressure toward sparsely populated fitness regions, not necessarily toward higher fitness, as is the case for all other selection schemes.",populate database; populate area; populate graph,C2
Porter,/ˈpɔɹtɚ/,n.,"porter, porters","port (v.), porterage (n.)",A person who carries luggage and related objects.｜行李搬運工,The hotel porter carried our luggage from the lobby to the room.,hotel porter; baggage porter; railway porter,C2
Preach,/ˈpɹitʃ/,v.,"preach, preaches, preached, preached, preaching","preacher (n.), preaching (n.), preachment (n.)",To give a sermon.｜佈道、講道,"In Basra, religious sects preached against the state.",preach the gospel; preach to the choir; preach against violence,C2
Posture,/ˈpɑstʃɚ/,n.,"posture, postures",postural (adj.),The way a person holds and positions their body.｜姿勢、姿態,An aggressive posture involved raising the body off the ground and glaring at the opponent who often turned away submissively.,unique posture; maintain posture; good posture,C2
Predecessor,/ˈpɹɛdəˌsɛsɚ/,n.,"predecessor, predecessors",None,"A person who previously held a position, role, or office now held by someone else.｜前任者、前輩","I looked at what my predecessors had suggested and thought that there was merit to almost every one of them, but not on their own.",immediate predecessor; predecessor to; political predecessor,C2
Prehistoric,/ˌpɹihɪˈstɔɹɪk/,adj.,no changes,prehistory (n.),belonging to or existing in times before recorded history｜史前的,"Southern Africa is famous for its rich record of prehistoric life, including dinosaurs.",prehistoric Europe; prehistoric humans; prehistoric cave,C2
Preside,/pɹɪˈzaɪd/,v.,"preside, presides, presided, presided, presiding",president (n.),To be in charge of a meeting or event.｜主持（會議或活動）,The judge will preside over the trial in the main courtroom.,preside over a meeting; preside at a ceremony; preside over a trial,C2
Potent,/ˈpoʊtənt/,adj.,"potent, more potent, most potent",potency (n.),Powerful; possessing power; effective.｜有效的；有力的；強效的,The new medicine proved far more potent than anything previously available to patients.,incredibly potent; potent effects; potent force,C2
Premiere,/pɹɛˈmɪɹ/,n.,"premiere, premieres",None,"The first showing of a film, play or other form of entertainment, often held as a special event with celebrity guests.｜首映；首演",Crowds gathered outside the theatre hours before the premiere of the new film.,film premiere; world premiere; premiere of a play,C2
Precede,/pɹɪˈsid/,v.,"precede, precedes, preceded, preceded, preceding","precedent (adj.), precedence (n.), precedency (n.), precession (n.)","To go before, go in front of.｜在…之前；先於",A period of intense anxiety often precedes major life decisions such as changing careers or relocating.,precede the event; directly precede; precede any action,C2
Preventive,/pɹɪˈvɛntɪv/,adj.,"preventive, more preventive, most preventive",prevent (v.),preventing or contributing to the prevention of disease｜預防的；預防性的,"Equipped with inertial sensors, such devices can capture movement for fitness technology, enabling preventive healthcare applications.",preventive approaches; preventive care; preventive measures,C2
Prestige,/pɹɛˈstiʒ/,n. [U],no changes,prestigious (adj.),"The quality of how good the reputation of something or someone is, how favourably something or someone is regarded.｜聲望；名望",She accepted the position mainly for the prestige it would bring to her family.,academic prestige; international prestige; enhance prestige,C2
Privatize,/ˈpɹɪvəˌtaɪz/,v.,"privatize, privatizes, privatized, privatized, privatizing",privatization (n.),change from governmental to private control or ownership｜民營化；私營化,The new government moved quickly to privatize several major state-owned industries.,privatize healthcare; privatize state assets; fully privatize,C2
Precision,/pɹiˈsɪʒən/,n. [U],no changes,None,"The state of being precise or exact; especially, both exact and accurate.｜精確；精準",The surgeon worked with remarkable precision throughout the delicate operation.,precision weapons; precision strikes; high precision,C2
Prohibition,/ˌpɹoʊəˈbɪʃən/,n.,"prohibition, prohibitions","prohibit (v.), prohibitionist (n.)","An act of prohibiting, forbidding, disallowing, or proscribing something.｜禁止；禁令","For example, religious teachings may prohibit theft and murder, but laws provide a system of justice for those who violate these prohibitions.",gun prohibition; complete prohibition; impose a prohibition,C2
Priceless,/ˈpɹaɪsləs/,adj.,no changes,pricelessness (n.),extremely valuable or precious; too valuable to be measured in money｜無價的；極珍貴的,"For one priceless moment in the whole history of man, all the people on this Earth are truly one: one in their pride in what you have done, and one in our prayers that you will return safely to Earth.",priceless diamond; priceless ring; priceless collection,C2
Procession,/pɹəˈsɛʃən/,n.,"procession, processions",proceed (v.),a group of people or vehicles moving forward in an organized way｜行列；隊伍,A Roman triumph or a triumphal procession was awarded to a super successful Roman general.,triumphal procession; funeral procession; march in procession,C2
Proficiency,/pɹəˈfɪʃənsi/,n. [U],no changes,proficient (adj.),"Ability, skill, competence.｜熟練；精通",Applicants must demonstrate proficiency in written and spoken English.,demonstrate proficiency; proficiency in English; professional proficiency,C2
Propel,/pɹəˈpɛl/,v.,"propel, propels, propelled, propelled, propelling","propeller (n.), propellor (n.), propellant (adj.), propellent (adj.), propulsion (n.), propulsive (adj.)",To provide an impetus for motion or physical action; to cause to move in a certain direction; to drive or push forward.｜推動或促使（某物）運動；使朝某方向前進；驅動或推進,"Large-scale training has propelled significant progress in several fields of AI, including computer vision and natural language processing.",help propel; propel progress; propel development,C2
Preview,/ˈpɹiˌvju/,n.,"preview, previews",None,An experience of something in advance.｜預先觀看或體驗；預覽,It is in the process of restoring the video footage and has released a preview of key moments.,film preview; public preview; preview of the results,C2
Prose,/ˈpɹoʊz/,n.,"prose, proses",prosaic (adj.),ordinary writing as distinguished from verse｜散文（與詩歌相對的普通寫作形式）,"However, most of them are based on texts in prose, lacking applications that work with poetry texts.",prose dialogue; tight prose; spare prose,C2
Prospective,/pɹəˈspɛktɪv/,adj.,"prospective, more prospective, most prospective",None,Likely or expected to happen or become.｜預期的；未來的；可能成為的,"Because spectrum is scarce, cognitive radio is a prospective solution for using underutilized frequencies efficiently.",prospective solution; prospective study; prospective buyers,C2
Proverb,/ˈpɹɑvɚb/,n.,"proverb, proverbs",proverbial (adj.),A commonly used sentence expressing popular wisdom.｜諺語；格言,"It appears in everyday greetings, oral poetry, proverbs, folk narratives, and expressions whose meanings cannot be inferred through literal translation alone.",ancient proverb; common proverb; quote a proverb,C2
Psychiatry,/saɪˈkaɪətɹi/,n. [U],no changes,"psychiatric (adj.), psychiatrist (n.), psychiatrical (adj.)",The medical study and treatment of mental illness.｜精神醫學；精神病學,He decided to study psychiatry to help people with mental illness.,study psychiatry; child psychiatry; field of psychiatry,C2
Psychotherapy,/ˌsaɪkoʊˈθɛɹəpi/,n. [U],no changes,"psychotherapist (n.), psychotherapeutic (adj.)",the branch of psychiatry concerned with psychological methods｜精神治療；心理治療,"But they're different because while you're having those experiences, it's hard to do psychotherapy.",undergo psychotherapy; intensive psychotherapy; group psychotherapy,C2
Provincial,/pɹəˈvɪnʃəl/,adj.,"provincial, more provincial, most provincial",province (n.),Of or pertaining to a province.｜省的；省級的,The provincial government announced a new infrastructure project to connect remote rural communities.,provincial government; provincial governors; provincial capital,C2
Psychic,/ˈsaɪkɪk/,n.,"psychic, psychics",psyche (n.),"A person who possesses, or appears to possess, extra-sensory abilities such as precognition, clairvoyance, and telepathy, or who appears to be susceptible to paranormal or supernatural influences.｜有超感官能力的人；靈媒；通靈者",The psychic claimed to know details about the missing person's whereabouts.,consult a psychic; alleged psychic; professional psychic,C2
Provisional,/pɹəˈvɪʒənəl/,adj.,"provisional, more provisional, most provisional",provisionally (adv.),"Temporary, but with the intention of eventually becoming permanent or being replaced by a permanent equivalent.｜暫時的；臨時的（最終可能成為永久性的）",The researchers reported provisional estimates of the models' critical values.,provisional government; provisional estimates; provisional name,C2
Prosecute,/ˈpɹɑsəˌkjut/,v.,"prosecute, prosecutes, prosecuted, prosecuted, prosecuting","prosecution (n.), prosecutor (n.), prosecutorial (adj.)",To start criminal proceedings against.｜起訴；控告,False alchemists were sometimes prosecuted for fraud when their promises of transmuting base metals into gold proved fraudulent.,aggressively prosecute; prosecute crime; prosecute individuals,C2
Probe,/ˈpɹoʊb/,v.,"probe, probes, probed, probed, probing",None,"To explore, investigate, question, test, or prove.｜探索；調查；探究",Investigators continued to probe the cause of the fire for several weeks.,probe points; probe mechanisms; probe understanding,C2
Publicize,/ˈpʌblɪˌsaɪz/,v.,"publicize, publicizes, publicized, publicized, publicizing","publicist (n.), publicizer (n.), publicizing (n.)","to make information, an event, or a product known to the public｜公開；宣傳；推廣",The company spent a lot of money to publicize its new product.,publicize a campaign; publicize the results; widely publicize,C2
Puff,/ˈpʌf/,v.,"puff, puffs, puffed, puffed, puffing","puffy (adj.), puffer (n.), puffing (n.)","To emit smoke, gas, etc., in puffs.｜噴出；冒出（煙、氣等）",The old engine puffed smoke as it climbed the steep hill.,puff smoke; puff on a pipe; puff away,C2
Prototype,/ˈpɹoʊtəˌtaɪp/,n.,"prototype, prototypes","prototypal (adj.), prototypic (adj.), prototypical (adj.)","An original form or object which is a basis for other forms or objects (particularly manufactured items), or for its generalizations and models.｜原型；樣本",The team built a working prototype of the device before investing in mass production.,early prototype; simple prototype; first prototype,C2
Punctual,/ˈpʌŋktʃuəl/,adj.,"punctual, more punctual, most punctual",punctuality (n.),acting or arriving or performed exactly at the time appointed｜準時的；守時的,Poirot was extremely punctual and carried a pocket watch throughout his career.,strictly punctual; always punctual; punctual arrival,C2
Quake,/ˈkweɪk/,v.,"quake, quakes, quaked, quaked, quaking",quaker (n.),To tremble or shake.｜震動；顫抖,The ground began to quake as the earthquake approached the town.,quake with fear; quake violently; begin to quake,C2
Purify,/ˈpjʊɹəˌfaɪ/,v.,"purify, purifies, purified, purified, purifying","purity (n.), purifier (n.), purification (n.)","To cleanse, or rid of impurities.｜淨化；提純",The river water was chemically treated to purify it before being distributed to homes in the region.,purify the soul; purify water; purify the body,C2
Purity,/ˈpjʊɹəti/,n. [U],no changes,purify (v.),The state or degree of being pure.｜純淨；純度,Purity was assessed by SDS–PAGE followed by Coomassie blue staining.,high purity; purity of doctrine; apostolic purity,C2
Radiate,/ˈɹeɪdiət/,v.,"radiate, radiates, radiated, radiated, radiating","radiant (adj.), radiance (n.), radiancy (n.), radiator (n.), radiation (n.)","To send out light, heat, or energy from a center.｜輻射；發散",The warm fireplace seemed to radiate heat across the whole room.,radiate heat; radiate warmth; radiate energy,C2
Qualification,/ˌkwɑləfəˈkeɪʃən/,n.,"qualification, qualifications",qualify (v.),"The act or process of qualifying for a position, achievement etc.｜取得職位、成就等的行為或過程",She lacked the formal qualification required for the senior position but had years of relevant experience.,academic qualification; professional qualification; formal qualification,C2
Radiant,/ˈɹeɪdiənt/,adj.,"radiant, more radiant, most radiant","radiate (v.), radiance (n.), radiancy (n.)",Radiating light and/or heat.｜發光或發熱的,"After months of recovery, she returned to work looking radiant and full of energy.",radiant smile; radiant light; radiant energy,C2
Radish,/ˈɹædɪʃ/,n.,"radish, radishes",None,pungent fleshy edible root｜辛辣的可食用肉質根,"This is usually filled with dried radish, garlic chives, ground pork, dried shrimp, shiitake mushrooms and peanuts.",radish soup; daikon radish; grated radish,C2
Radioactive,/ˌɹeɪdioʊˈæktɪv/,adj.,no changes,radioactivity (n.),Exhibiting radioactivity.｜具有放射性的,The region is still uninhabitable because tonnes of radioactive waste remain buried underground.,radioactive isotopes; radioactive waste; radioactive materials,C2
Rap,/ˈɹæp/,v.,"rap, raps, rapped, rapped, rapping",None,To strike something sharply with one's knuckles; knock.｜用指關節用力敲打某物；敲擊,She rapped sharply on the door with her knuckles.,rap on the door; rap sharply; rap one's knuckles,C2
Radius,/ˈɹeɪdiəs/,n.,"radius, radiuses",radial (adj.),A straight line from the centre of a circle to its edge; the length of this line.｜從圓心到圓周的直線；此線段的長度,The police searched every property within a ten-mile radius of the crime scene.,radius of curvature; within a radius; turning radius,C2
Rash,/ˈɹæʃ/,adj.,"rash, more rash, most rash",rashness (n.),Acting too quickly without considering the consequences and risks; not careful; hasty.｜行事過快而不考慮後果和風險；不謹慎；草率,"According to Plutarch, Alexander also had a violent temper and rash, impulsive nature, which could influence his decision making.",rash action; rash decision; rash response,C2
Ratify,/ˈɹætəˌfaɪ/,v.,"ratify, ratifies, ratified, ratified, ratifying","ratifier (n.), ratification (n.)","To give formal consent to; make officially valid, sign off on.｜正式同意；使正式生效；批准",The Senate voted overwhelmingly to ratify the new international treaty on climate change.,ratify treaty; ratify protocol; never ratify,C2
Reef,/ˈɹif/,n.,"reef, reefs",reefy (adj.),A line of rocks or coral near the surface of the sea.｜靠近海面的岩石或珊瑚線,Colourful fish swam slowly around the bright coral reef.,coral reef; barrier reef; rocky reef,C2
Reap,/ˈɹip/,v.,"reap, reaps, reaped, reaped, reaping",reaper (n.),"To cut (for example a grain) with a sickle, scythe, or reaping machine.｜用鐮刀、長柄大鐮刀或收割機切割（如穀物）","After years of patient work, she began to reap the rewards of her careful investments.",reap benefits; reap rewards; reap consequences,C2
Reckon,/ˈɹɛkən/,v.,"reckon, reckons, reckoned, reckoned, reckoning","reckoner (n.), reckoning (n.)","to calculate, estimate, or consider something likely｜計算、估計或認為某事物可能",It was so common that I'd reckon 90 per cent of the horses had arsenic in their system.,reckon the cost; reckon that; generally reckon,C2
Referee,/ˌɹɛfɚˈi/,n.,"referee, referees","refer (v.), refereeing (n.)",(sports) the chief official (as in boxing or American football) who is expected to ensure fair play｜（體育）主要裁判員（如拳擊或美式足球），負責確保公平競賽,The referee stopped the match after the player was injured.,football referee; ask the referee; referee's decision,C2
Reconcile,/ˈɹɛkəˌnsaɪl/,v.,"reconcile, reconciles, reconciled, reconciled, reconciling",reconciliation (n.),To restore a friendly relationship; to bring back or return to harmony.｜恢復友好關係；使重返和諧,The researchers asked how they could reconcile quantum field theory with Einstein's general theory of relativity.,reconcile differences; reconcile theory with evidence; reconcile oneself to,C2
Realization,/ˈɹiləˈzeɪʃən/,n.,"realization, realizations",realize (v.),The act of becoming aware of something; something that becomes clear or is achieved.｜開始意識到某事的行為；變得清晰或已達成的事,The sudden realization that he had misjudged the situation forced him to rethink his entire approach.,sudden realization; profound realization; come to a realization,C2
Refreshment,/ɹəˈfɹɛʃmənts/,n.,"refreshment, refreshments",None,light food and drinks served at an event or during a break｜活動或休息期間供應的輕食和飲料,Light refreshments were served to the guests during the short break.,light refreshments; serve refreshments; free refreshments,C2
Reckless,/ˈɹɛkləs/,adj.,"reckless, more reckless, most reckless",recklessness (n.),Careless or heedless; headstrong or rash.｜不顧後果的；魯莽的,His reckless driving eventually caught up with him when he lost his licence for six months.,reckless driver; reckless driving; reckless behavior,C2
Referendum,/ˌɹɛfɚˈɛndəm/,n.,"referendum, referendums",None,a legislative act is referred for final approval to a popular vote by the electorate｜立法行為需經公民投票批准,The government held a national referendum on whether to change the constitution.,referendum result; hold a referendum; national referendum,C2
Recreational,/ˌɹɛkɹiˈeɪʃənəl/,adj.,"recreational, more recreational, most recreational",recreation (n.),"For, or relating to, recreation.｜休閒的；與娛樂相關的","In recent years, several outbreaks linked to recreational water use have already heightened public concern in different parts of the world.",recreational fishing; recreational drugs; recreational use,C2
Reign,/ˈɹeɪn/,n. [U],no changes,None,a period during which something or somebody is dominant or powerful｜某事物或某人占主導或強勢的時期,The kingdom prospered during the queen's long reign.,long reign; peaceful reign; reign of terror,C2
Refreshment,/ɹəˈfɹɛʃmənt/,n. [U],no changes,refresh (v.),"The process of refreshing; a means of restoring strength, energy or vigour.｜恢復活力的過程；恢復體力、精力或活力的方法",The hikers paused beneath a shady tree for a little rest and refreshment.,light refreshments; take refreshment; refreshment stand,C2
Redundancy,/ɹɪˈdʌndənsi/,n.,"redundancy, redundancies",redundant (adj.),"unnecessary repetition, or deliberate duplication that provides backup capacity｜不必要的重複，或是提供備用容量的蓄意重複",The editor removed unnecessary redundancy from the final paragraph.,reduce redundancy; unnecessary redundancy; eliminate redundancy,C2
Refinement,/ɹəˈfaɪnmənt/,n. [U],no changes,refine (v.),"The act, or the result of refining; the removal of impurities, or a purified material｜精煉的行為或其結果；去除雜質，或已被純化的物質","Our approach leverages the temporal information from a video sequence for pose refinement, along with being computationally efficient and robust.",pose refinement; further refinement; iterative refinement,C2
Rehabilitate,/ˌɹihəˈbɪləˌteɪt/,v.,"rehabilitate, rehabilitates, rehabilitated, rehabilitated, rehabilitating","rehabilitation (n.), rehabilitative (adj.)","To restore (someone) to their former state, reputation, possessions, status etc.｜將（某人）恢復至其先前的狀態、名譽、財產、地位等","As reported in 2010, the state needs more than US$2 billion to rehabilitate its irrigation systems so that the water is properly managed.",rehabilitate a patient; rehabilitate one's reputation; rehabilitate damaged land,C2
Reflective,/ɹɪˈflɛktɪv/,adj.,"reflective, more reflective, most reflective","reflect (v.), reflectivity (n.)","That reflects, or redirects back to the source.｜會反射的，或將（資訊）回傳至來源的","Ice is very reflective, therefore it reflects far more solar energy back to space than the other types of land area or open water.",quite reflective; reflective surfaces; reflective properties,C2
Refute,/ɹɪˈfjut/,v.,"refute, refutes, refuted, refuted, refuting","refutation (n.), refutable (adj.)",To prove (something) to be false or incorrect.｜證明（某事物）為錯誤或不當,She quickly produced evidence that helped refute the allegations made against her in court.,refute claim; refute hypothesis; refute allegations,C2
Rehearse,/ɹiˈhɝs/,v.,"rehearse, rehearses, rehearsed, rehearsed, rehearsing",rehearsal (n.),"To repeat, as what has been already said; to tell over again; to recite.｜重複已說過的話；再度講述；背誦",The cast gathered every evening to rehearse the final act until every line and movement felt effortless.,carefully rehearse; rehearse the scene; rehearse a speech,C2
Refine,/ɹəˈfaɪn/,v.,"refine, refines, refined, refined, refining","refiner (n.), refinery (n.), refining (n.), refinement (n.)","To purify; reduce to a fine, unmixed, or pure state; to free from impurities.｜使純淨；將...提煉至細緻、均勻或純淨的狀態；去除雜質","Other ways anthropology contributes to environmental discourse include serving as theorists and analysts, or refining definitions to be more neutral/universal, etc.",refine products; refine ideas; refine models,C2
Rejoice,/ɹɪˈdʒɔɪs/,v.,"rejoice, rejoices, rejoiced, rejoiced, rejoicing",rejoicing (n.),"To be very happy, be delighted, exult; to feel joy.｜非常高興、欣喜雀躍；感到歡樂",Friends and family gathered to rejoice with the young couple on the day of their wedding.,exceedingly rejoice; rejoice in truth; rejoice in life,C2
