word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Introduction,/ˌɪntɹəˈdʌkʃən/,n.,"introduction, introductions",introduce (v.),the act of telling people who someone is when they first meet｜初次見面時向眾人介紹某人身份的行為,He gave a short introduction before the speaker began.,a brief introduction; make an introduction; a formal introduction,A2
Iron,/ˈaɪɚn/,n. [U],no changes,ironing (n.),a strong hard grey metal used to make tools and buildings｜一種堅硬灰色的金屬，用於製造工具和建築物,The old gate was made of heavy black iron.,made of iron; an iron bar; cast iron,A2
Judgement,/ˈdʒʌdʒmənt/,n.,"judgement, judgements",None,the ability to make good decisions or sensible opinions｜做出正確決定或明智判斷的能力,There will always be edge cases where judgement is required.,replace human judgement; human similarity judgement; rational judgement,A2
Ladybug,/ˈleɪdiˌbʌɡ/,n.,"ladybug, ladybugs",None,small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests｜體型小、顏色鮮豔且帶斑點的甲蟲，通常以蚜蟲和其他害蟲為食,Some years have outbreaks of cicadas or ladybugs.,red ladybug; tiny ladybug; spotted ladybug,A2
Kilogram,/ˈkɪləˌɡɹæm/,n.,"kilogram, kilograms",None,"a unit for measuring weight, equal to 1000 grams｜測量重量的單位，等於1000克",The baby weighs about three kilograms now.,one kilogram; a few kilograms; half a kilogram,A2
Judge,/ˈdʒʌdʒ/,n.,"judge, judges","judging (n.), judgment (n.), judgeship (n.)",a public official authorized to decide questions brought before a court of justice｜被授權裁決法庭案件問題的公職人員,The judge listened carefully before announcing her decision in court.,court judge; fair judge; a senior judge,A2
Keeper,/ˈkipɚ/,n.,"keeper, keepers",keep (v.),"a person who is responsible for looking after a place, animals, or something valuable｜負責照顧場所動物或貴重物品的人",The keeper at the zoo feeds the lions twice every day.,zoo keeper; goal keeper; shop keeper,A2
Journal,/ˈdʒɝnəl/,n.,"journal, journals",None,a book where you write about your daily life and feelings｜記錄日常生活和感受的書,She writes in her journal before going to sleep.,keep a journal; a daily journal; write in a journal,A2
Ketchup,/ˈkɛtʃəp/,n. [U],no changes,None,thick spicy sauce made from tomatoes｜由番茄製成的濃稠辛辣醬汁,He put a lot of ketchup on his fries.,tomato ketchup; ketchup bottle; ketchup stains,A2
Justice,/ˈdʒʌstəs/,n. [U],no changes,None,fair treatment of people under the law｜法律下的公平對待,The family fought for justice after the unfair trial.,seek justice; social justice; a sense of justice,A2
Lamb,/ˈlæm/,n.,"lamb, lambs",None,young sheep｜年幼的綿羊,The farmer fed the young lamb with a bottle of milk every morning.,roast lamb; spring lamb; young lamb,A2
Lady,/ˈleɪdi/,n.,"lady, ladies",None,a polite name for any woman｜對女性的禮貌稱呼,A kind old lady helped me cross the busy road.,older lady; white lady; particular lady,A2
Lack,/ˈlæk/,v.,"lack, lacks, lacked, lacked, lacking",None,to be without something that is needed or wanted｜沒有需要或想要的東西,"We all, to some degree, lack the self-awareness of how we tick.",lack experience; lack confidence; lack access,A2
Lantern,/ˈlæntɚn/,n.,"lantern, lanterns",None,light in a transparent protective case｜裝在透明保護殼中的燈光,"You have a lantern in your inventory, for instance, which you can pull out at any time.",paper lantern; lantern light; carry a lantern,A2
Lap,/ˈlæp/,n.,"lap, laps",None,the upper side of the thighs of a seated person｜坐在椅子上時大腿的上側,The child sat on her father's lap during the train ride.,on your lap; lap of luxury; a lap of the track,A2
Lane,/ˈleɪn/,n.,"lane, lanes",None,a narrow way or road｜狹窄的道路,The cyclist stayed in the left lane until it was safe to turn.,fast lane; slow lane; changing lanes,A2
Latter,/ˈlætɚ/,adj.,no changes,None,the second of two people or things just mentioned｜剛才提到的兩個人或事物中的第二個,"I like tea and coffee, but I prefer the latter.",the latter case; the latter group; the latter half,A2
Latest,/ˈleɪtəst/,adj.,no changes,None,up to the immediate present; most recent or most up-to-date｜直到最近的；最新的,Please send me the latest version of the report.,latest versions; latest tag; latest updates,A2
Lay,/ˈleɪ/,v.,"lay, lays, laid, laid, laying",layer (n.),to put something down carefully on a surface｜小心地將某物放在表面上,She laid the freshly folded clothes neatly on the bed.,lay the table; lay down; lay it carefully,A2
Law,/ˈlɔ/,n. [U],no changes,lawyer (n.),the set of rules that everyone in a country must obey｜每個國家的人都必須遵守的規則,It is against the law to drive without a seatbelt.,break the law; obey the law; against the law,A2
Lend,/ˈlɛnd/,v.,"lend, lends, lent, lent, lending","lender (n.), lendable (adj.)",to give something to someone for a short time｜短時間將東西借給別人,Can you lend me your pen for a moment?,lend money; lend a hand; lend a book,A2
Leadership,/ˈlidɚˌʃɪp/,n. [U],no changes,leader (n.),the activity of leading｜領導的活動,We established technology leadership for our nation.,strong leadership; leadership skills; leadership team,A2
Leaf,/ˈlif/,n.,"leaf, leaves","leafy (adj.), leafage (n.), leaflet (n.)",a flat green part that grows on a tree or plant｜生長在樹或植物上的扁平綠色部分,A bright green leaf fell from the tall tree.,green leaf; fallen leaf; dry leaf,A2
Legal,/ˈliɡəl/,adj.,"legal, more legal, most legal",legality (n.),established by or founded upon law or official or accepted rules｜由法律或官方或既定規則建立或創立的,"If they were legal, which ones might you consider.",legal advice; legal system; take legal action,A2
Liberal,/ˈlɪbɚəl/,adj.,"liberal, more liberal, most liberal","liberality (n.), liberalness (n.)",showing or characterized by broad-mindedness｜表現出或具有心胸寬廣的特點,You can tell that this city is more liberal.,liberal values; liberal democracy; a liberal attitude,A2
Length,/ˈlɛŋkθ/,n.,"length, lengths",lengthy (adj.),the measurement of something from one end to the other｜從一端到另一端的測量,You get a slightly bigger stride length.,sequence length; arms length; average minimal length,A2
Lid,/ˈlɪd/,n.,"lid, lids",None,a cover that fits on top of a container｜適合放在容器頂部的蓋子,She carefully placed the lid on the pot to keep the soup warm.,wooden lid; lid off; lid hides,A2
Lens,/ˈlɛnz/,n.,"lens, lenses",None,a curved piece of glass in cameras or glasses｜相機或眼鏡中的彎曲玻璃片,He cleaned the lens of his camera before the trip.,camera lens; clean the lens; glass lens,A2
Lift,/ˈlɪft/,v.,"lift, lifts, lifted, lifted, lifting",lifter (n.),raise from a lower to a higher position｜從低處抬到高處,She used both hands to lift the heavy box onto the table.,lift weights; give a lift; lift off the ground,A2
Firewoman,/ˈfaɪˌɹwʊmən/,n.,"firewoman, firewomen",None,a dated term for a female firefighter｜女性消防員的舊稱,The old newspaper described her as the city's first firewoman.,the first firewoman; a pioneering firewoman; female firefighter,A2
Lone,/ˈloʊn/,adj.,"lone, no changes",None,having no other people present; alone｜沒有其他人在場；獨自,A lone wolf walked across the empty field.,lone warrior; lone wolf; lone survivor,A2
Link,/ˈlɪŋk/,n.,"link, links",linkage (n.),a connection between two things or people｜兩件事物或兩個人之間的連接,There is a strong link between the two ideas.,strong link; close link; direct link,A2
Listener,/ˈlɪsənɚ/,n.,"listener, listeners",listen (v.),a person who listens to someone or something｜聽某人或某事物說話的人,My best friend is a kind and patient listener.,good listener; patient listener; active listener,A2
Likely,/ˈlaɪkli/,adj.,"likely, more likely, most likely",likeliness (n.),probably going to happen or be true｜可能會發生或屬實,It is likely to rain later this afternoon.,most likely; likely outcome; likely to happen,A2
Limit,/ˈlɪmət/,n.,"limit, limits","limiter (n.), limitation (n.)",the greatest possible degree of something｜某事物最大的程度,You must know your own limits and not push yourself too hard.,upper limit; physical limit; central limit,A2
Load,/ˈloʊd/,n.,"load, loads","loader (n.), loading (n.)",weight to be borne or conveyed｜需要承受或運輸的重量,The farmer carried a heavy load of vegetables to the market.,a heavy load; carry a load; a full load,A2
Loss,/ˈlɔs/,n.,"loss, losses",lose (v.),something that is lost｜失去的東西,The team felt sad about the loss of their best player.,a great loss; suffer a loss; heavy loss,A2
Liver,/ˈlɪvɚ/,n.,"liver, livers",None,a large organ inside your body that cleans your blood and helps you digest food｜體內清潔血液並幫助消化食物的大型器官,Eating too much fatty food can harm your liver over time.,liver health; liver disease; liver problems,A2
Liquid,/ˈlɪkwəd/,n.,"liquid, liquids","liquify (v.), liquidity (n.), liquidness (n.)",a substance that is liquid at room temperature and pressure｜在室溫和壓力下為液體的物質,Pour the liquid into a clean glass before drinking it.,clear liquid; liquid form; pour a liquid,A2
Local,/ˈloʊkəl/,adj.,"local, more local, most local",locality (n.),belonging to or happening in a nearby area or your own town｜屬於或發生在附近地區或你自己的城鎮,The local market sells fresh vegetables and fruit every morning.,local community; local culture; local market,A2
Mango,/ˈmæŋɡoʊ/,n.,"mango, mangoes",None,a sweet juicy tropical fruit with yellow flesh｜一種甜的熱帶水果，果肉呈黃色且多汁,She cut a ripe mango for our breakfast.,ripe mango; sweet mango; fresh mango,A2
Magazine,/ˈmæɡəˌzin/,n.,"magazine, magazines",None,"a thin book with a paper cover, sold regularly and containing articles, pictures, and stories on a particular topic｜一種有紙封面薄的書，定期發行，內容包含特定主題的文章、圖片和故事",Making the magazine was a big wild experiment.,teletext magazine; air magazine; magazine format,A2
Luck,/ˈlʌk/,n. [U],no changes,lucky (adj.),good things that happen to you by chance｜偶然發生的好事,"With a bit of luck, we will win the game.",good luck; bad luck; beginner's luck,A2
Manager,/ˈmænədʒɚ/,n.,"manager, managers","manage (v.), managerial (adj.), managership (n.)",someone who controls resources and expenditures｜控制資源和支出的人,The manager asked the new staff to work on weekends.,hotel manager; football manager; store manager,A2
Major,/ˈmeɪdʒɚ/,adj.,"major, more major, most major",majority (n.),of greater importance or stature or rank｜更重要或更有地位的,Cars are a major cause of air pollution in big cities.,major companies; major role; major cities,A2
Male,/ˈmeɪl/,adj.,"male, no changes",maleness (n.),"belonging to the sex that can father children, not female｜屬於能生育後代的性別，不是女性",The male lion protects the rest of the group from danger.,male student; male friendship; male patients,A2
Manner,/ˈmænɚ/,n.,"manner, manners",mannerly (adj.),how something is done or how it happens｜做事的方式或事情發生的方式,She spoke in a polite manner and everyone listened carefully.,in a calm manner; in a friendly manner; in a polite manner,A2
Marriage,/ˈmɛɹɪdʒ/,n.,"marriage, marriages",marry (v.),the legal and personal relationship between two people who are married to each other｜兩個結婚的人之間的法律和個人關係,Their marriage lasted for fifty happy years.,before marriage; marriage ends; stable marriage,A2
Mat,/ˈmæt/,n.,"mat, mats",matting (n.),a thick flat pad used as a floor covering｜一種厚的扁平墊子，用作地板覆蓋物,She placed a thick mat by the front door for guests to wipe their feet.,bath mat; door mat; yoga mat,A2
Mask,/ˈmæsk/,n.,"mask, masks","masker (n.), masking (n.)",a covering to disguise or conceal the face｜遮蓋或隱藏面部的東西,She wore a mask to keep her face warm in the cold wind.,face mask; wear a mask; gas mask,A2
Mass,/ˈmæs/,n.,"mass, masses",None,a large amount or number of something in one place｜大量或大量的某物聚集在一處,A mass of people gathered in the square to watch.,a mass of; huge mass; solid mass,A2
Match,/ˈmætʃ/,n.,"match, matches",matcher (n.),a game or sports event between two teams or players｜兩支隊伍或選手之間的比賽或體育活動,Our school won the football match last weekend.,football match; win the match; tennis match,A2
Mate,/ˈmeɪt/,n.,"mate, mates",matey (adj.),a friend or someone you spend a lot of time with｜朋友或經常相處的人,"Or you can change the story, mate.",best mate; school mate; find a mate,A2
Master,/ˈmæstɚ/,n.,"master, masters","mastery (n.), masterly (adj.), mastering (n.), mastership (n.)",a person who has great skill or full control of something｜對某事物有高超技術或完全掌控的人,We want to be masters in our own home.,master class; master plan; chess master,A2
Mature,/məˈtʃʊɹ/,adj.,"mature, more mature, most mature","maturity (n.), maturation (n.), maturement (n.), matureness (n.)",fully grown or developed; behaving in a sensible and adult way｜完全成長或發育的；表現得理智和像成年人的,"That's a mature, non-emotional decision to make.",mature adult; mature student; mature way,A2
Material,/məˈtɪɹiəl/,n.,"material, materials",materiality (n.),a substance used to make something; information or resources used for a purpose｜用來製作東西的物質；用於某目的的資訊或資源,I have some bonus materials on some MoE models.,enriched material; reference material; material support,A2
Meaning,/ˈminɪŋ/,n.,"meaning, meanings",mean (v.),the message that is intended or expressed or signified｜想要傳達的訊息或所表達或象徵的意義,I might find some meaning in that.,meaning behind; full meaning; double meaning,A2
Means,/ˈminz/,n. [U],no changes,None,a way of doing or achieving something｜做或完成某事的方法,The bus is a cheap means of travel for students.,means of transport; by means of; effective means,A2
Melody,/ˈmɛlədi/,n.,"melody, melodies","melodize (v.), melodious (adj.)",a tune or series of musical notes that sound pleasant｜聽起來悅耳的曲調或一系列音符,The song has a simple melody that is easy to remember.,simple melody; beautiful melody; catchy melody,A2
Medical,/ˈmɛdəkəl/,adj.,no changes,medicine (n.),relating to the study or practice of medicine｜關於醫學的學習或實踐的,"There's a human element to the medical profession, which I think is sometimes unappreciated.",medical care; medical treatment; medical school,A2
Membership,/ˈmɛmbɚˌʃɪp/,n.,"membership, memberships",member (n.),"the state or status of belonging to a group, or the members considered together｜屬於某團體的狀態或身份，亦可指全體成員",I need to get a gym membership.,gym membership; membership fees; annual membership,A2
Message,/ˈmɛsədʒ/,n.,"message, messages",None,a piece of written or spoken information you send to someone｜向他人傳遞的文字或口語資訊,She sent me a short message to say she was late.,send a message; text message; leave a message,A2
Memory,/ˈmɛmɚi/,n.,"memory, memories",memorize (v.),something that is remembered｜曾經記住的事物,She has a good memory and can remember faces for years.,good memory; memory loss; early memory,A2
Metal,/ˈmɛtəl/,n. [U],no changes,metallic (adj.),any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.｜通常是光亮的固態化學元素，能導熱或導電，且可加工成薄片等,They understand the power of sharpened metal.,made of metal; scrap metal; metal pipe,A2
Metro,/ˈmɛˌtɹoʊ/,n.,"metro, metros",None,an underground railway system in a city｜城市的地下鐵路系統,We took the metro to the city center this morning.,metro station; metro line; metro system,A2
Meter,/ˈmitɚ/,n.,"meter, meters",None,the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)｜長度單位，國際單位制的基本單位（約等於1.094碼）,"It gets to six, seven meters long.",a few meters; meter high; one meter away,A2
Lower,/ˈloʊɚ/,v.,"lower, lowers, lowered, lowered, lowering",lowering (n.),move something or somebody to a lower position｜將某物或某人移至較低的位置,The central bank decided to lower interest rates.,lower the price; lower your voice; lower the temperature,A2
Marry,/ˈmɛɹi/,v.,"marry, marries, married, married, marrying","married (n.), marriage (n.)",to become someone's husband or wife｜與某人結婚,They plan to marry in the spring next year.,marry someone; get married; marry young,A2
