"Word","IPA","POS","Inflections","Definition","Example","Collocations","Context_Type"
"laconic","/ləˈkɑːnɪk/","adj.","laconically","言簡意賅的；簡潔的","His laconic reply of 'no' didn't leave much room for further discussion.","laconic reply; laconic prose","Social"
"insipid","/ɪnˈsɪpɪd/","adj.","insipidly","乏味的；淡而無味的","The movie's plot was so insipid that half the audience left before the end.","insipid conversation; insipid soup","Social"
"prosaic","/prəʊˈzeɪɪk/","adj.","prosaically","平凡的；乏味的；無想像力的","I expected a romantic proposal, but he kept it pretty prosaic, just asking over dinner.","prosaic life; prosaic observation","Social"
"alacrity","/əˈlækrəti/","n.","-","欣然；敏捷；樂意","She accepted the job offer with alacrity, signing the contract within minutes.","with alacrity; respond with alacrity","Workplace"
"pellucid","/pə/ˈluːsɪd/","adj.","pellucidly","清晰易懂的；清澈透明的","The professor's explanation of the complex theorem was surprisingly pellucid.","pellucid prose; pellucid water","Academic"
"corroborate","/kəˈrɑːbəreɪt/","v.","corroborated, corroborating","證實；支撐（說法或理論）","The witness's testimony corroborated the suspect's alibi, so they let him go.","corroborate a story; corroborate evidence","Legal"
"mercurial","/mɜːrˈkjʊriəl/","adj.","mercurially","反覆無常的；情緒多變的","His mercurial temperament makes it hard to predict how he'll react to bad news.","mercurial personality; mercurial nature","Social"
"belie","/bɪˈlaɪ/","v.","belied, belying","掩飾；與…不符","Her youthful appearance belies the fact that she's actually in her late forties.","belie one's age; belie expectations","Social"
"idiosyncrasy","/ˌɪdiəˈsɪŋkrəsi/","n.","idiosyncrasies","獨特的習性；癖好","One of his idiosyncrasies is that he always counts his steps while walking.","personal idiosyncrasy; peculiar idiosyncrasy","Social"
"didactic","/daɪˈdæktɪk/","adj.","didactically","說教式的；教導的","I like his books, but sometimes the tone gets a bit too didactic for my taste.","didactic tone; didactic approach","Academic"
"loquacious","/loʊˈkweɪʃəs/","adj.","loquaciously","多話的；健談的","He's so loquacious that a simple 'hello' can turn into a thirty-minute lecture.","loquacious neighbor; loquacious host","Social"
"placate","/ˈpleɪkeɪt/","v.","placated, placating","撫慰；平息（憤怒）","The airline tried to placate the stranded passengers by offering free meal vouchers.","placate someone; placate anger","Workplace"
"esoteric","/ˌesəˈterɪk/","adj.","esoterically","深奧難懂的；少數人懂的","The group's discussion revolved around esoteric philosophical concepts I couldn't follow.","esoteric knowledge; esoteric terminology","Academic"
