"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Abnegation","/ˌæbnɪˈɡeɪʃn/","n. [U]","no changes","abnegate (v.)","放棄；自我克制；否認","The monastic tradition demanded a profound abnegation of personal desires in pursuit of spiritual discipline.","self-abnegation; abnegation of power; complete abnegation","C2"
"Abrade","/əˈbreɪd/","v.","abrade, abrades, abraded, abraded, abrading","abrasion (n.), abrasive (adj.)","磨損；擦傷","Continuous exposure to windblown sand can gradually abrade the rock surface, exposing softer layers beneath.","abrade the surface; abrade against; gradually abrade","C2"
"Abscond","/əbˈskɒnd/","v.","abscond, absconds, absconded, absconded, absconding","absconder (n.)","潛逃；遠走高飛","Investigators discovered that the treasurer had attempted to abscond with a substantial portion of the institution's funds.","abscond with funds; abscond from custody; abscond from justice","C2"
"Abysmal","/əˈbɪzməl/","adj.","abysmal, more abysmal, most abysmal","abysmally (adv.)","極壞的；極為糟糕的；深不可測的","The committee attributed the project's collapse to an abysmal failure of oversight and inadequate financial planning.","abysmal failure; abysmal conditions; abysmal performance","C2"
"Acrid","/ˈækrɪd/","adj.","acrid, more acrid, most acrid","acridity (n.)","辛辣的；嗆人的；刻薄的","The combustion of the polymer released an acrid odour that irritated the respiratory tracts of the laboratory researchers.","acrid smoke; acrid fumes; acrid taste","C2"
"Addle","/ˈædl/","v.","addle, addles, addled, addled, addling","addled (adj.)","使腐敗；使混亂｜to cause to become confused or unable to think clearly","The prolonged exposure to contradictory information seemed to addle the cognitive faculties of even the most seasoned analysts.","addle one's wits; addle the brain; addle one's head","C1"
"Adulation","/ˌædjuˈleɪʃn/","n. [U]","no changes","adulate (v.), adulatory (adj.)","吹捧；恭維；奉承","The biography critiques the uncritical adulation that surrounded the politician, arguing that it obscured serious policy failures.","public adulation; excessive adulation; popular adulation","C2"
"Adulterate","/əˈdʌltəreɪt/","v.","adulterate, adulterates, adulterated, adulterated, adulterating","adulteration (n.)","摻雜；摻假","Regulatory authorities discovered that the processor had adulterated the cooking oil with cheaper mineral oils to increase profit margins.","adulterate food; adulterate milk; adulterate the product","C2"
"Adumbrate","/ˈædəmbreɪt/","v.","adumbrate, adumbrates, adumbrated, adumbrated, adumbrating","None","（對未來的事）勾畫輪廓；預示","In the introductory chapter the author adumbrates the theoretical framework that subsequent sections will develop in detail.","adumbrate a theory; broadly adumbrate; adumbrate the consequences","C2"
"Aerate","/ˈeəreɪt/","v.","aerate, aerates, aerated, aerated, aerating","aeration (n.), aerator (n.)","使通風；使暴露在空氣中","Farmers regularly aerate the soil to improve oxygen circulation and promote the healthy growth of plant roots.","aerate the soil; aerate the water; aerate the wine","C2"
"Aeronautics","/ˌeərəˈnɔːtɪks/","n. [U]","no changes","aeronautic (adj.), aeronautical (adj.)","航空學；航空術","Advances in aeronautics during the twentieth century transformed both military strategy and civilian transportation worldwide.","field of aeronautics; study aeronautics; modern aeronautics","C2"
"Ail","/eɪl/","v.","ail, ails, ailed, ailed, ailing","ailment (n.)","使苦惱；折磨；生病","Economists have long debated precisely what factors ail developing economies and prevent sustained industrial growth.","ail the economy; what ails society; ail the system","C2"
"Alacrity","/əˈlækrəti/","n. [U]","no changes","alacritous (adj.)","欣然；敏捷；樂意","The volunteers responded to the emergency appeal with remarkable alacrity, mobilising supplies within a matter of hours.","with alacrity; show alacrity; respond with alacrity","C2"
"Alcove","/ˈælkəʊv/","n.","alcove, alcoves","None","凹室；壁龕","A small alcove off the main reading room provided scholars with a quiet space for examining rare manuscripts.","small alcove; shaded alcove; cosy alcove","C2"
"Amalgamate","/əˈmælɡəmeɪt/","v.","amalgamate, amalgamates, amalgamated, amalgamated, amalgamating","amalgamation (n.)","聯合；合併","The two research institutes decided to amalgamate in order to pool their resources and broaden their scientific scope.","amalgamate with; amalgamate into; amalgamate two companies","C2"
"Ambulatory","/ˈæmbjələtɔːri/","adj.","no changes","ambulate (v.), ambulation (n.)","不須臥床的；能走的；流動的","The clinic specialises in ambulatory care, allowing patients to receive treatment without an overnight hospital stay.","ambulatory care; ambulatory surgery; ambulatory patient","C2"
"Amoral","/eɪˈmɒrəl/","adj.","no changes","None","無道德感的；與道德無關的","The corporation pursued profit in an entirely amoral manner, ignoring any ethical consequences of its actions.","amoral attitude; amoral approach; essentially amoral","C2"
"Antidote","/ˈæntidəʊt/","n.","antidote, antidotes","None","解毒藥；對抗手段","Many scholars regard universal education as the most effective antidote to widespread political extremism.","antidote to poison; effective antidote; powerful antidote","C2"
"Antipathy","/ænˈtɪpəθi/","n.","antipathy, antipathies","antipathetic (adj.)","厭惡；反感","The author's deep antipathy toward industrialization is evident throughout his social and economic essays.","deep antipathy; mutual antipathy; antipathy toward","C2"
"Apocryphal","/əˈpɒkrɪfl/","adj.","apocryphal, more apocryphal, most apocryphal","apocrypha (n.)","可疑的；不足為信的；虛假的","Historians have dismissed the popular story as apocryphal, since no contemporary source corroborates the alleged event.","apocryphal story; apocryphal account; apocryphal tale","C2"
"Apogee","/ˈæpədʒiː/","n.","apogee, apogees","None","頂點；巔峰；遠地點","Classical sculpture is often said to have reached its apogee during the Hellenistic period of artistic refinement.","reach its apogee; cultural apogee; apogee of power","C2"
"Apotheosis","/əˌpɒθiˈəʊsɪs/","n.","apotheosis, apotheoses","apotheosise (v.), apotheosize (v.)","神化；崇拜；完美典型","The cathedral is widely considered the apotheosis of Gothic architecture, embodying every principle the style aspired to.","apotheosis of music; ultimate apotheosis; cultural apotheosis","C2"
"Apparition","/ˌæpəˈrɪʃn/","n.","apparition, apparitions","None","幽靈；幻影；鬼魂","In Renaissance drama, the sudden apparition of a ghost often served to externalize the protagonist's guilt and inner turmoil.","ghostly apparition; sudden apparition; spectral apparition","C2"
"Apropos","/ˌæprəˈpəʊ/","adj.","apropos, more apropos, most apropos","None","適合的；恰當的","The committee found her remarks remarkably apropos, addressing precisely the concerns raised earlier in the discussion.","apropos comment; apropos remark; apropos of nothing","C2"
"Apropos","/ˌæprəˈpəʊ/","adv.","no changes","None","關於；就…而言","Apropos of the earlier debate, the lecturer introduced a new study that substantially complicated the prevailing theory.","apropos of; apropos of nothing; quite apropos","C2"
"Arabesque","/ˌærəˈbesk/","n.","arabesque, arabesques","None","阿拉伯式的花紋圖案","The intricate arabesque carved into the mosque's walls reflects the sophisticated geometric traditions of Islamic art.","intricate arabesque; arabesque pattern; elaborate arabesque","C2"
"Arboreal","/ɑːrˈbɔːriəl/","adj.","no changes","None","樹棲的；樹木的","These arboreal primates spend almost their entire lives in the forest canopy, rarely descending to the ground.","arboreal mammal; arboreal lifestyle; arboreal species","C2"
"Ascertain","/ˌæsərˈteɪn/","v.","ascertain, ascertains, ascertained, ascertained, ascertaining","ascertainable (adj.)","弄清；確定；查明","Researchers conducted extensive interviews in order to ascertain the underlying causes of the population's sudden decline.","ascertain the cause; ascertain whether; difficult to ascertain","C2"
"Aseptic","/eɪˈseptɪk/","adj.","no changes","asepsis (n.)","無菌的；防止感染的","Surgeons must maintain strictly aseptic conditions throughout the procedure to prevent any microbial contamination of the wound.","aseptic technique; aseptic conditions; aseptic surgery","C2"
"Asunder","/əˈsʌndər/","adv.","no changes","None","分成許多部份；破碎地","The seismic forces were so powerful that they tore the ancient rock formations asunder over several millennia.","torn asunder; ripped asunder; cleave asunder","C2"
"Attrition","/əˈtrɪʃn/","n. [U]","no changes","attritional (adj.)","耗損；削減；摩擦","The study attributes the decline in enrollment primarily to the high rate of student attrition during the first semester.","rate of attrition; war of attrition; employee attrition","C2"
"Atypical","/ˌeɪˈtɪpɪkl/","adj.","atypical, more atypical, most atypical","atypically (adv.)","非典型的；異常的","The researchers documented several atypical responses that did not conform to the predicted behavioural patterns.","atypical presentation; highly atypical; atypical features","C2"
"Augur","/ˈɔːɡər/","v.","augur, augurs, augured, augured, auguring","None","預示；是…的預兆","The encouraging preliminary results augur well for the long-term viability of the experimental treatment.","augur well for; augur ill for; augur poorly for","C2"
"Aversion","/əˈvɜːrʒn/","n.","aversion, aversions","avert (v.)","反感；厭惡的人事物","Participants in the experiment developed a strong aversion to the flavour that had previously induced nausea.","aversion to; deep aversion; strong aversion","C2"
"Avow","/əˈvaʊ/","v.","avow, avows, avowed, avowed, avowing","avowal (adj.)","宣明；承認","In her concluding remarks, the author openly avows her commitment to a more egalitarian model of governance.","openly avow; publicly avow; avow support","C2"
"Bane","/beɪn/","n.","bane, banes","baneful (adj.)","禍根；難題；掃把星","Persistent inflation remains the bane of policymakers seeking to stabilise the national economy.","bane of existence; bane of civilization; economic bane","C2"
"Bankroll","/ˈbæŋkrəʊl/","v.","bankroll, bankrolls, bankrolled, bankrolled, bankrolling","None","資助；向…提供資金","Several private foundations agreed to bankroll the ambitious research initiative for an initial period of five years.","bankroll a project; bankroll a campaign; bankroll research","C2"
"Belie","/bɪˈlaɪ/","v.","belie, belies, belied, belied, beliing","None","掩飾；與...不符","The author's calm prose belies the profound social unrest that characterised the period under examination.","belie expectations; belie its appearance; belie the complexity","C2"
"Bellwether","/ˈbelweðər/","n.","bellwether, bellwethers","None","前導；領頭羊；指標","Economists regard consumer confidence as a reliable bellwether of broader trends in the national economy.","economic bellwether; bellwether of; leading bellwether","C2"
"Bequeath","/bɪˈkwiːð/","v.","bequeath, bequeaths, bequeathed, bequeathed, bequeathing","None","把…遺贈給；傳下","The founding generation built these institutions not for themselves alone but to bequeath them in a stronger state to those who would come after.","bequeath to; bequeath property; bequeath a legacy","C2"
"Berserk","/bərˈsɜːrk/","adj.","no changes","None","發狂的；暴怒的；狂暴的","Financial markets went berserk after the unexpected policy reversal, with indices swinging wildly and trading halted on multiple exchanges.","go berserk; drive someone berserk; turn berserk","C2"
"Bilk","/bɪlk/","v.","bilk, bilks, bilked, bilked, bilking","None","詐騙；騙取（財物）","The fraudulent scheme was designed to bilk elderly investors out of their retirement savings over several years.","bilk investors of; bilk someone out of; bilk customers","C2"
"Blasphemy","/ˈblæsfəmi/","n.","blasphemy, blasphemies","blasphemous (adj.), blaspheme (v.)","褻瀆的言行；侮慢的言行","In several medieval societies, public expressions of blasphemy were punishable by severe legal sanctions imposed by religious courts.","commit blasphemy; accusation of blasphemy; charge of blasphemy","C2"
"Bludgeon","/ˈblʌdʒən/","v.","bludgeon, bludgeons, bludgeoned, bludgeoned, bludgeoning","bludgeoner (n.)","連續重擊；威脅","Critics argued that the administration sought to bludgeon dissenting scholars into silence through relentless bureaucratic pressure.","bludgeon into submission; bludgeon to death; bludgeon opponents","C2"
"Bombast","/ˈbɒmbæst/","n. [U]","no changes","bombastic (adj.)","浮誇言語；大話；豪言壯語","The politician's speech was full of empty bombast, promising sweeping reforms without offering any concrete plan of action.","empty bombast; political bombast; hollow bombast","C2"
"Bonhomie","/ˌbɒnəˈmiː/","n. [U]","no changes","None","和藹；溫和；敦厚","The conference dinner was characterized by an easy bonhomie that encouraged researchers from rival institutions to share their preliminary findings.","cheerful bonhomie; spirit of bonhomie; easy bonhomie","C2"
"Boon","/buːn/","n.","boon, boons","None","恩惠；利益；及時的幫助","The introduction of inexpensive sequencing technology proved a tremendous boon to researchers studying rare genetic disorders.","boon to researchers; great boon; economic boon","C2"
