"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Jug","/ˈdʒʌɡ/","n.","jug, jugs","None","a large bottle with a narrow mouth","Similarly in the Hindu calendar Aquarius is depicted as Kumbha, and Kumbha, which means a pot or a jug, stands for the zodiac sign of Aquarius (astrology).","jug o' rum; written as jug; jug band","C1"
"Jury","/ˈdʒʊɹi/","n.","jury, juries","None","a body of citizens sworn to give a true verdict according to the evidence presented in a court of law","The jury listened carefully to the evidence before retiring to consider the verdict.","grand jury; federal jury; sway jury","C1"
"Juvenile","/ˈdʒuvənəl/","adj.","juvenile, more juvenile, most juvenile","juvenility (n.)","of or relating to or characteristic of or appropriate for children or young people","They think that it's juvenile, that I'm pandering to my audience by making them giggle.","juvenile delinquent; juvenile delinquency; juvenile herbivores","C1"
"Juvenile","/ˈdʒuvənəl/","n.","juvenile, juveniles","juvenility (n.)","a young person, not fully developed","They think that it's juvenile, that I'm pandering to my audience by making them giggle.","vulnerable juveniles; juvenile of herbivores; juveniles across species","C1"
"Landlord","/ˈlænˌdlɔɹd/","n.","landlord, landlords","None","a landowner who leases to others","The landlord agreed to repair the broken window before the new tenants moved in.","accidental landlord; wealthy landlords; became landlord","C1"
"Lawmaker","/ˈlɔˌmeɪkɚ/","n.","lawmaker, lawmakers","None","a maker of laws; someone who gives a code of laws","Each lawmaker was urged to support the bill protecting the rights of disabled people.","gop lawmaker; influence lawmakers; georgian lawmakers","C1"
"Laser","/ˈleɪzɚ/","n.","laser, lasers","None","an acronym for light amplification by stimulated emission of radiation; an optical device that produces an intense monochromatic beam of coherent light","Laser diffraction techniques can be used to determine the particle size distribution quickly and easily.","massive laser; developing laser; shine lasers","C1"
"Layer","/ˈleɪɚ/","n.","layer, layers","lay (v.)","single thickness of usually some homogeneous substance","A layer of snowfall increases local albedo, reflecting away sunlight, leading to local cooling.","deeper layer; first layer; second layer","C1"
"Lawsuit","/ˈlɔˌsut/","n.","lawsuit, lawsuits","None","a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy","This did not change until the late 1960s following a lawsuit and court order.","class action lawsuit; file lawsuit; huge lawsuit","C1"
"League","/ˈliɡ/","n.","league, leagues","None","an association of sports teams that organizes matches for its members","These groups included The Ku Klux Klan, the Pale Faces, Knights of the White Camelia, Red Shirts (United States), and the White League.","english premier league; minor league; major league","C1"
"Legacy","/ˈlɛɡəsi/","n.","legacy, legacies","None","(law) a gift of personal property by will","The retiring teacher left a lasting legacy of curiosity in her grateful students.","personal legacy; legacy software; cultural legacy","C1"
"Legislative","/ˈlɛdʒəˌsleɪtɪv/","adj.","no changes","legislate (v.)","relating to a legislature or composed of members of a legislature","Users' concerns about how their data is or may be used has prompted legislative action in the European Union and congressional questioning in the United States.","legislative branch; legislative agenda; legislative process","C1"
"Legislation","/ˌlɛdʒəˈsleɪʃən/","n. [U]","no changes","legislate (v.)","law enacted by a legislative body","The legislation appointed William Wyatt Bibb of Georgia as the first governor of the newly designated Alabama Territory.","passing legislation; pass legislation; new legislation","C1"
"Legendary","/ˈlɛdʒəˌndɛɹi/","adj.","legendary, more legendary, most legendary","legend (n.)","so celebrated as to having taken on the nature of a legend","His legendary spear was given to him by his mentor Chiron before he participated in the Trojan War.","now legendary; legendary figure; legendary programmer","C1"
"Lest","/ˈlɛst/","conj.","no changes","None","With the intention of preventing something; for fear that something undesirable might happen","This principle predicts that variations from a canonical order that are reached by fewer swaps of adjacent constituents are lest costly and thus more likely.","problems lest; lest you mistake; lest costly","C1"
"Legitimate","/ləˈdʒɪtəmət/","adj.","legitimate, more legitimate, most legitimate","legitimacy (n.), legitimation (n.)","of marriages and offspring; recognized as lawful","Robert Paul Wolff believed that the tension between authority and autonomy would mean the state could never be legitimate.","legitimate reasons; legitimate complaint; legitimate military target","C1"
"Liability","/ˌlaɪəˈbɪlɪti/","n.","liability, liabilities","liable (adj.)","the state of being legally obliged and responsible","However, public opinion against slavery in Britain created a political liability for politicians, where the Abolitionism in the United Kingdom was powerful.","legal liability; political liability; liability protection","C1"
"Likewise","/ˈlaɪˌkwaɪz/","adv.","no changes","None","in like or similar manner","She worked hard to improve her grades, and her brother did likewise the next year.","likewise china; likewise divided within; likewise leans","C1"
"Likelihood","/ˈlaɪkliˌhʊd/","n. [U]","no changes","None","the probability of a specified outcome","However, in all likelihood these languages began to diverge well before this hard boundary.","maximum likelihood; higher likelihood; increase likelihood","C1"
"Lounge","/ˈlaʊndʒ/","n.","lounge, lounges","lounger (n.)","an upholstered seat for more than one person","It gives you unlimited data and special perks access to airport special perks access to airport lounges, fasttrack services, and lounges, fasttrack services, and advanced online security tools.","lounge room; lounge pants; perfect lounge","C1"
"Loop","/ˈlup/","n.","loop, loops","loopy (adj.)","fastener consisting of a metal ring for lining a small hole to permit the attachment of cords or lines","Both positive feedback loops have long been recognized as important for Climate change.","positive feedback loop; infinite loop; strange loop","C1"
"Lump","/ˈlʌmp/","n.","lump, lumps","lumpy (adj.), lumper (n.)","a compact mass","And when archaeologists looked at Roman concrete, they would find big undigested lumps of quick lime in there.","lump in throat; lumps of clay; lump of data","C1"
"Mainstream","/ˈmeɪnsˌtɹim/","n. [U]","no changes","None","the prevailing current of thought","Once a niche idea, recycling has now firmly entered the mainstream of daily life.","mainstream voices; mainstream consumers; political mainstream","C1"
"Jug","/ˈdʒʌɡ/","v.","jug, jugs, jugged, jugged, jugging","None","lock up or confine, in or as in a jail","Similarly in the Hindu calendar Aquarius is depicted as Kumbha, and Kumbha, which means a pot or a jug, stands for the zodiac sign of Aquarius (astrology).","jug o' rum; written as jug; jug band","C1"
"Lounge","/ˈlaʊndʒ/","v.","lounge, lounges, lounged, lounged, lounging","lounger (n.)","sit or recline comfortably","It gives you unlimited data and special perks access to airport special perks access to airport lounges, fasttrack services, and lounges, fasttrack services, and advanced online security tools.","lounge in hammock; lounge room; lounge pants","C1"
"Legitimate","/ləˈdʒɪtəmət/","v.","legitimate, legitimates, legitimated, legitimated, legitimating","legitimacy (n.), legitimation (n.)","make legal","The new law was passed to legitimate a practice that had long been informal.","legitimate criticism; legitimate of leaders; legitimate on ground","C1"
"Kidnap","/ˈkɪˌdnæp/","v.","kidnap, kidnaps, kidnapped, kidnapped, kidnapping","kidnaper (n.), kidnapper (n.), kidnapping (n.)","take away to an undisclosed location against their will and usually in order to extract a ransom","Apollo loved and kidnapped an Oceanid nymph, Melia (consort of Apollo).","kidnap woman; kidnap prisoners; kidnap diplomats","C1"
"League","/ˈliɡ/","v.","league, leagues, leagued, leagued, leaguing","None","unite to form a league","These groups included The Ku Klux Klan, the Pale Faces, Knights of the White Camelia, Red Shirts (United States), and the White League.","league of legends; minor league; english premier league","C1"
"Lump","/ˈlʌmp/","v.","lump, lumps, lumped, lumped, lumping","lumpy (adj.), lumper (n.)","put together indiscriminately","And when archaeologists looked at Roman concrete, they would find big undigested lumps of quick lime in there.","get lump; lump in throat; lump of clay","C1"
"Mammal","/ˈmæməl/","n.","mammal, mammals","None","any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk","From his data, Aristotle inferred biological rules relating the life-history features of live-bearing tetrapods (terrestrial placental mammals) that he studied.","modern mammal; early mammal; social mammals","C1"
"Layer","/ˈleɪɚ/","v.","layer, layers, layered, layered, layering","lay (v.)","make or form a layer","A layer of snowfall increases local albedo, reflecting away sunlight, leading to local cooling.","layer of skin; layer of complexity; layer of defense","C1"
"Maintenance","/ˈmeɪntənəns/","n. [U]","no changes","maintain (v.)","activity involved in maintaining something in good working order","Regular maintenance keeps the old machines running smoothly for many more years.","poor maintenance; routine maintenance; predictive maintenance","C1"
"Mansion","/ˈmænʃən/","n.","mansion, mansions","None","(astrology) one of 12 equal areas into which the zodiac is divided","Construction of the Alaska Governor's Mansion began that same year.","lose his mansion; former mansion; relative mansions","C1"
