"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Upstairs","/əpˈstɛɹz/","adv.","no changes","None","on a floor above","She went upstairs to her bedroom to fetch a warm coat.","upstairs tried; upstairs model; go back upstairs","B1"
"Unity","/ˈjunəti/","n. [U]","no changes","None","an undivided or unbroken completeness or totality with nothing wanting","For ergodic states the finite-size versions of fractal dimensions converge to unity in the limit of large system size.","unity asset store; unity projects; use unity","B1"
"Universe","/ˈjunəˌvɝs/","n. [U]","no changes","universal (adj.)","everything that exists anywhere","High-resolution maps reveal a complex network of dense dark matter clumps connected by faint filaments that form the invisible scaffolding of the universe.","observable universe; overwatch universe; universe diablo wow","B1"
"Upset","/əˈpsɛt/","adj.","upset, more upset, most upset","upsetter (n.)","afflicted with or marked by anxious uneasiness or trouble or grief","I'm sure I upset some people by saying this.","upset embarrassed confused; constituents upset; upset until eventually","B1"
"University","/ˌjunəˈvɝsəti/","n.","university, universities","None","the body of faculty and students at a university","He hopes to study science at university after he leaves school.","brown university; rockefeller university; american university","B1"
"Unless","/əˈnlɛs/","conj.","no changes","None","except if; used to introduce the only condition under which something will or will not happen","I know where to look on that."" , there's trigger words that unless I hear those things, I tune everything out.","solve energy unless; know unless; unless someone makes","B1"
"Upper","/ˈʌpɚ/","adj.","upper, more upper, most upper","None","the topmost one of two","Hybrid solar LED systems deliver natural sunlight to upper tiers of vertical farms while supplementing missing spectral gaps using PWM dimming.","upper layers; upper hand; upper west side","B1"
"Upon","/əˈpɑn/","prep.","no changes","None","on or onto something; immediately after something; used in formal writing in place of 'on'","The cat jumped upon the warm windowsill to sleep.","dependent upon; build upon; looked down upon","B1"
"Vacant","/ˈveɪkənt/","adj.","vacant, more vacant, most vacant","vacate (v.), vacancy (n.)","void of thought or knowledge","The house next door has been vacant for almost a year now.","vacant bands; sense vacant; empty vacant","B1"
"Urban","/ˈɝbən/","adj.","urban, more urban, most urban","urbanity (n.), urbanize (v.)","relating to or concerned with a city or densely populated area","Relocation algorithms are now being used to identify service deserts to prevent spatial segregation for essential workers in urban zones.","future urban; urban environments using; urban village mapping","B1"
"Used","/ˈjuzd/","adj.","no changes","None","employed in accomplishing something; - H.H.Arnold & I.C.Eaker","I think the philosophy here is a little different than I'm used to in a studio.","commonly used; mostly used; used quite scarcely","B1"
"User","/ˈjuzɚ/","n.","user, users","use (v.)","a person who makes use of a thing; someone who uses or employs something","Each user must enter a password before using the computer.","power user; million user; user folder","B1"
"Vacation","/veɪˈkeɪʃən/","n.","vacation, vacations","vacate (v.), vacationer (n.), vacationing (n.), vacationist (n.)","leisure time away from work devoted to rest or pleasure","I haven't really missed a workout unless I'm on a vacation, but I'll still do something else.","selling vacation; vacation trip; free vacation","B1"
"Usual","/ˈjuʒəwəl/","adj.","usual, more usual, most usual","usualness (n.)","occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure","We met at the usual time and sat at our usual table in the cafe.","per usual; usual places; phone usual","B1"
"Valley","/ˈvæli/","n.","valley, valleys","None","a long depression in the surface of the land that usually contains a river","You want your glucose relatively stable across the day without big peaks or valleys.","uncanny valley; beautiful valley; valley crossings","B1"
"Valuable","/ˈvæljəbəl/","adj.","valuable, more valuable, most valuable","value (v.), valuableness (n.)","having great material or monetary value especially for use or exchange","Despite its simplicity, the evaluation metrics show outstanding results, making it a valuable privacy-focused and cost-effective approach.","valuable skill; economically valuable; become valuable","B1"
"Variety","/vɚˈaɪəti/","n. [U]","no changes","None","a collection containing a variety of sorts of things","Kelly comes with a variety of different installation methods.","huge variety; large variety; whole variety","B1"
"Value","/ˈvælju/","n. [U]","no changes","valuer (n.), valuate (v.), valuable (adj.)","a numerical quantity measured or assigned or computed","The old painting has great value because it is so rare.","value proposition; value models; game value","B1"
"Van","/ˈvæn/","n.","van, vans","None","any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)","They loaded all the boxes into the back of the white van.","moving van; van gogh; fm van","B1"
"Vase","/ˈveɪs/","n.","vase, vases","None","an open jar of glass or porcelain used as an ornament or to hold flowers","At the beginning I will also add a new section vase files and we'll add the secretsy file.","vase files; new section vase; slender glass vase","B1"
"Vest","/ˈvɛst/","n.","vest, vests","vesture (n.), vestment (n.)","a man's sleeveless garment worn underneath a coat","Weight vests on the run or hike.","vest looking; vest full; bombs suicide vest","B1"
